Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
2,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
4,0,概念,名詞,一般,*,*,概念,38
6,0,説明,名詞,サ変接続,*,*,説明,36
7,0,できる,動詞,自立,*,*,できる,31
10,0,なり,動詞,自立,*,*,なる,31
12,0,関連,名詞,サ変接続,*,*,関連,36
13,0,枠,名詞,接尾,一般,*,枠,51
14,0,組,名詞,接尾,一般,*,組,51
16,0,いくつか,名詞,一般,*,*,いくつか,38
18,0,使える,動詞,自立,*,*,使える,31
21,0,なる,動詞,自立,*,*,なる,31
23,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
25,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
27,0,概念,名詞,一般,*,*,概念,38
29,0,説明,名詞,サ変接続,*,*,説明,36
30,0,できる,動詞,自立,*,*,できる,31
33,0,なり,動詞,自立,*,*,なる,31
35,0,関連,名詞,サ変接続,*,*,関連,36
36,0,枠,名詞,接尾,一般,*,枠,51
37,0,組,名詞,接尾,一般,*,組,51
39,0,いくつか,名詞,一般,*,*,いくつか,38
41,0,使える,動詞,自立,*,*,使える,31
44,0,なる,動詞,自立,*,*,なる,31
46,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
48,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
50,0,概念,名詞,一般,*,*,概念,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
56,0,なり,動詞,自立,*,*,なる,31
58,0,関連,名詞,サ変接続,*,*,関連,36
59,0,枠,名詞,接尾,一般,*,枠,51
60,0,組,名詞,接尾,一般,*,組,51
62,0,いくつか,名詞,一般,*,*,いくつか,38
64,0,使える,動詞,自立,*,*,使える,31
67,0,なる,動詞,自立,*,*,なる,31
69,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
71,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
73,0,概念,名詞,一般,*,*,概念,38
75,0,説明,名詞,サ変接続,*,*,説明,36
76,0,できる,動詞,自立,*,*,できる,31
79,0,なり,動詞,自立,*,*,なる,31
81,0,関連,名詞,サ変接続,*,*,関連,36
82,0,枠,名詞,接尾,一般,*,枠,51
83,0,組,名詞,接尾,一般,*,組,51
85,0,いくつか,名詞,一般,*,*,いくつか,38
87,0,使える,動詞,自立,*,*,使える,31
90,0,なる,動詞,自立,*,*,なる,31
92,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
94,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
96,0,概念,名詞,一般,*,*,概念,38
98,0,説明,名詞,サ変接続,*,*,説明,36
99,0,できる,動詞,自立,*,*,できる,31
102,0,なり,動詞,自立,*,*,なる,31
104,0,関連,名詞,サ変接続,*,*,関連,36
105,0,枠,名詞,接尾,一般,*,枠,51
106,0,組,名詞,接尾,一般,*,組,51
108,0,いくつか,名詞,一般,*,*,いくつか,38
110,0,使える,動詞,自立,*,*,使える,31
113,0,なる,動詞,自立,*,*,なる,31
0,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
2,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
4,0,概念,名詞,一般,*,*,概念,38
6,0,説明,名詞,サ変接続,*,*,説明,36
7,0,できる,動詞,自立,*,*,できる,31
10,0,なり,動詞,自立,*,*,なる,31
12,0,関連,名詞,サ変接続,*,*,関連,36
13,0,枠,名詞,接尾,一般,*,枠,51
14,0,組,名詞,接尾,一般,*,組,51
16,0,いくつか,名詞,一般,*,*,いくつか,38
18,0,使える,動詞,自立,*,*,使える,31
21,0,なる,動詞,自立,*,*,なる,31
23,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
25,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
27,0,概念,名詞,一般,*,*,概念,38
29,0,説明,名詞,サ変接続,*,*,説明,36
30,0,できる,動詞,自立,*,*,できる,31
33,0,なり,動詞,自立,*,*,なる,31
35,0,関連,名詞,サ変接続,*,*,関連,36
36,0,枠,名詞,接尾,一般,*,枠,51
37,0,組,名詞,接尾,一般,*,組,51
39,0,いくつか,名詞,一般,*,*,いくつか,38
41,0,使える,動詞,自立,*,*,使える,31
44,0,なる,動詞,自立,*,*,なる,31
46,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
48,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
50,0,概念,名詞,一般,*,*,概念,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
56,0,なり,動詞,自立,*,*,なる,31
58,0,関連,名詞,サ変接続,*,*,関連,36
59,0,枠,名詞,接尾,一般,*,枠,51
60,0,組,名詞,接尾,一般,*,組,51
62,0,いくつか,名詞,一般,*,*,いくつか,38
64,0,使える,動詞,自立,*,*,使える,31
67,0,なる,動詞,自立,*,*,なる,31
69,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
71,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
73,0,概念,名詞,一般,*,*,概念,38
75,0,説明,名詞,サ変接続,*,*,説明,36
76,0,できる,動詞,自立,*,*,できる,31
79,0,なり,動詞,自立,*,*,なる,31
81,0,関連,名詞,サ変接続,*,*,関連,36
82,0,枠,名詞,接尾,一般,*,枠,51
83,0,組,名詞,接尾,一般,*,組,51
85,0,いくつか,名詞,一般,*,*,いくつか,38
87,0,使える,動詞,自立,*,*,使える,31
90,0,なる,動詞,自立,*,*,なる,31
92,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
94,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
96,0,概念,名詞,一般,*,*,概念,38
98,0,説明,名詞,サ変接続,*,*,説明,36
99,0,できる,動詞,自立,*,*,できる,31
102,0,なり,動詞,自立,*,*,なる,31
104,0,関連,名詞,サ変接続,*,*,関連,36
105,0,枠,名詞,接尾,一般,*,枠,51
106,0,組,名詞,接尾,一般,*,組,51
108,0,いくつか,名詞,一般,*,*,いくつか,38
110,0,使える,動詞,自立,*,*,使える,31
113,0,なる,動詞,自立,*,*,なる,31
0,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
2,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
4,0,概念,名詞,一般,*,*,概念,38
6,0,説明,名詞,サ変接続,*,*,説明,36
7,0,できる,動詞,自立,*,*,できる,31
10,0,なり,動詞,自立,*,*,なる,31
12,0,関連,名詞,サ変接続,*,*,関連,36
13,0,枠,名詞,接尾,一般,*,枠,51
14,0,組,名詞,接尾,一般,*,組,51
16,0,いくつか,名詞,一般,*,*,いくつか,38
18,0,使える,動詞,自立,*,*,使える,31
21,0,なる,動詞,自立,*,*,なる,31
23,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
25,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
27,0,概念,名詞,一般,*,*,概念,38
29,0,説明,名詞,サ変接続,*,*,説明,36
30,0,できる,動詞,自立,*,*,できる,31
33,0,なり,動詞,自立,*,*,なる,31
35,0,関連,名詞,サ変接続,*,*,関連,36
36,0,枠,名詞,接尾,一般,*,枠,51
37,0,組,名詞,接尾,一般,*,組,51
39,0,いくつか,名詞,一般,*,*,いくつか,38
41,0,使える,動詞,自立,*,*,使える,31
44,0,なる,動詞,自立,*,*,なる,31
46,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
48,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
50,0,概念,名詞,一般,*,*,概念,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
56,0,なり,動詞,自立,*,*,なる,31
58,0,関連,名詞,サ変接続,*,*,関連,36
59,0,枠,名詞,接尾,一般,*,枠,51
60,0,組,名詞,接尾,一般,*,組,51
62,0,いくつか,名詞,一般,*,*,いくつか,38
64,0,使える,動詞,自立,*,*,使える,31
67,0,なる,動詞,自立,*,*,なる,31
69,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
71,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
73,0,概念,名詞,一般,*,*,概念,38
75,0,説明,名詞,サ変接続,*,*,説明,36
76,0,できる,動詞,自立,*,*,できる,31
79,0,なり,動詞,自立,*,*,なる,31
81,0,関連,名詞,サ変接続,*,*,関連,36
82,0,枠,名詞,接尾,一般,*,枠,51
83,0,組,名詞,接尾,一般,*,組,51
85,0,いくつか,名詞,一般,*,*,いくつか,38
87,0,使える,動詞,自立,*,*,使える,31
90,0,なる,動詞,自立,*,*,なる,31
92,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
94,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
96,0,概念,名詞,一般,*,*,概念,38
98,0,説明,名詞,サ変接続,*,*,説明,36
99,0,できる,動詞,自立,*,*,できる,31
102,0,なり,動詞,自立,*,*,なる,31
104,0,関連,名詞,サ変接続,*,*,関連,36
105,0,枠,名詞,接尾,一般,*,枠,51
106,0,組,名詞,接尾,一般,*,組,51
108,0,いくつか,名詞,一般,*,*,いくつか,38
110,0,使える,動詞,自立,*,*,使える,31
113,0,なる,動詞,自立,*,*,なる,31
0,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
2,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
4,0,概念,名詞,一般,*,*,概念,38
6,0,説明,名詞,サ変接続,*,*,説明,36
7,0,できる,動詞,自立,*,*,できる,31
10,0,なり,動詞,自立,*,*,なる,31
12,0,関連,名詞,サ変接続,*,*,関連,36
13,0,枠,名詞,接尾,一般,*,枠,51
14,0,組,名詞,接尾,一般,*,組,51
16,0,いくつか,名詞,一般,*,*,いくつか,38
18,0,使える,動詞,自立,*,*,使える,31
21,0,なる,動詞,自立,*,*,なる,31
23,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
25,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
27,0,概念,名詞,一般,*,*,概念,38
29,0,説明,名詞,サ変接続,*,*,説明,36
30,0,できる,動詞,自立,*,*,できる,31
33,0,なり,動詞,自立,*,*,なる,31
35,0,関連,名詞,サ変接続,*,*,関連,36
36,0,枠,名詞,接尾,一般,*,枠,51
37,0,組,名詞,接尾,一般,*,組,51
39,0,いくつか,名詞,一般,*,*,いくつか,38
41,0,使える,動詞,自立,*,*,使える,31
44,0,なる,動詞,自立,*,*,なる,31
46,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
48,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
50,0,概念,名詞,一般,*,*,概念,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
56,0,なり,動詞,自立,*,*,なる,31
58,0,関連,名詞,サ変接続,*,*,関連,36
59,0,枠,名詞,接尾,一般,*,枠,51
60,0,組,名詞,接尾,一般,*,組,51
62,0,いくつか,名詞,一般,*,*,いくつか,38
64,0,使える,動詞,自立,*,*,使える,31
67,0,なる,動詞,自立,*,*,なる,31
69,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
71,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
73,0,概念,名詞,一般,*,*,概念,38
75,0,説明,名詞,サ変接続,*,*,説明,36
76,0,できる,動詞,自立,*,*,できる,31
79,0,なり,動詞,自立,*,*,なる,31
81,0,関連,名詞,サ変接続,*,*,関連,36
82,0,枠,名詞,接尾,一般,*,枠,51
83,0,組,名詞,接尾,一般,*,組,51
85,0,いくつか,名詞,一般,*,*,いくつか,38
87,0,使える,動詞,自立,*,*,使える,31
90,0,なる,動詞,自立,*,*,なる,31
92,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
94,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
96,0,概念,名詞,一般,*,*,概念,38
98,0,説明,名詞,サ変接続,*,*,説明,36
99,0,できる,動詞,自立,*,*,できる,31
102,0,なり,動詞,自立,*,*,なる,31
104,0,関連,名詞,サ変接続,*,*,関連,36
105,0,枠,名詞,接尾,一般,*,枠,51
106,0,組,名詞,接尾,一般,*,組,51
108,0,いくつか,名詞,一般,*,*,いくつか,38
110,0,使える,動詞,自立,*,*,使える,31
113,0,なる,動詞,自立,*,*,なる,31
0,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
2,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
4,0,概念,名詞,一般,*,*,概念,38
6,0,説明,名詞,サ変接続,*,*,説明,36
7,0,できる,動詞,自立,*,*,できる,31
10,0,なり,動詞,自立,*,*,なる,31
12,0,関連,名詞,サ変接続,*,*,関連,36
13,0,枠,名詞,接尾,一般,*,枠,51
14,0,組,名詞,接尾,一般,*,組,51
16,0,いくつか,名詞,一般,*,*,いくつか,38
18,0,使える,動詞,自立,*,*,使える,31
21,0,なる,動詞,自立,*,*,なる,31
23,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
25,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
27,0,概念,名詞,一般,*,*,概念,38
29,0,説明,名詞,サ変接続,*,*,説明,36
30,0,できる,動詞,自立,*,*,できる,31
33,0,なり,動詞,自立,*,*,なる,31
35,0,関連,名詞,サ変接続,*,*,関連,36
36,0,枠,名詞,接尾,一般,*,枠,51
37,0,組,名詞,接尾,一般,*,組,51
39,0,いくつか,名詞,一般,*,*,いくつか,38
41,0,使える,動詞,自立,*,*,使える,31
44,0,なる,動詞,自立,*,*,なる,31
46,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
48,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
50,0,概念,名詞,一般,*,*,概念,38
52,0,説明,名詞,サ変接続,*,*,説明,36
53,0,できる,動詞,自立,*,*,できる,31
56,0,なり,動詞,自立,*,*,なる,31
58,0,関連,名詞,サ変接続,*,*,関連,36
59,0,枠,名詞,接尾,一般,*,枠,51
60,0,組,名詞,接尾,一般,*,組,51
62,0,いくつか,名詞,一般,*,*,いくつか,38
64,0,使える,動詞,自立,*,*,使える,31
67,0,なる,動詞,自立,*,*,なる,31
69,0,経営戦略,名詞,固有名詞,一般,*,経営戦略,41
71,0,経営組織,名詞,固有名詞,一般,*,経営組織,41
