Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,科目,名詞,一般,*,*,科目,38
5,0,次,名詞,一般,*,*,次,38
9,0,知識,名詞,一般,*,*,知識,38
11,0,能力,名詞,一般,*,*,能力,38
13,0,身,名詞,一般,*,*,身,38
15,0,つける,動詞,自立,*,*,つける,31
18,0,目指す,動詞,自立,*,*,目指す,31
24,1,セクション,名詞,一般,*,*,セクション,38
26,1,中心,名詞,一般,*,*,中心,38
28,1,TOEFL,名詞,固有名詞,一般,*,TOEFL,41
29,1,テスト,名詞,サ変接続,*,*,テスト,36
31,1,各自,名詞,副詞可能,*,*,各自,67
33,1,スコア,名詞,一般,*,*,スコア,38
35,1,向上,名詞,サ変接続,*,*,向上,36
40,2,学問分野,名詞,固有名詞,一般,*,学問分野,41
42,2,英語,名詞,一般,*,*,英語,38
44,2,知識,名詞,一般,*,*,知識,38
46,2,広げる,動詞,自立,*,*,広げる,31
49,2,英語,名詞,一般,*,*,英語,38
51,2,全般,名詞,一般,*,*,全般,38
52,2,的,名詞,接尾,形容動詞語幹,*,的,52
58,2,力,名詞,一般,*,*,力,38
60,2,身,名詞,一般,*,*,身,38
62,2,つける,動詞,自立,*,*,つける,31
66,3,科目,名詞,一般,*,*,科目,38
69,3,次,名詞,一般,*,*,次,38
73,3,知識,名詞,一般,*,*,知識,38
75,3,能力,名詞,一般,*,*,能力,38
77,3,身,名詞,一般,*,*,身,38
79,3,つける,動詞,自立,*,*,つける,31
82,3,目指す,動詞,自立,*,*,目指す,31
88,4,セクション,名詞,一般,*,*,セクション,38
90,4,中心,名詞,一般,*,*,中心,38
92,4,TOEFL,名詞,固有名詞,一般,*,TOEFL,41
93,4,テスト,名詞,サ変接続,*,*,テスト,36
95,4,各自,名詞,副詞可能,*,*,各自,67
97,4,スコア,名詞,一般,*,*,スコア,38
99,4,向上,名詞,サ変接続,*,*,向上,36
104,5,学問分野,名詞,固有名詞,一般,*,学問分野,41
106,5,英語,名詞,一般,*,*,英語,38
108,5,知識,名詞,一般,*,*,知識,38
110,5,広げる,動詞,自立,*,*,広げる,31
113,5,英語,名詞,一般,*,*,英語,38
115,5,全般,名詞,一般,*,*,全般,38
116,5,的,名詞,接尾,形容動詞語幹,*,的,52
122,5,力,名詞,一般,*,*,力,38
124,5,身,名詞,一般,*,*,身,38
126,5,つける,動詞,自立,*,*,つける,31
130,6,科目,名詞,一般,*,*,科目,38
133,6,次,名詞,一般,*,*,次,38
137,6,知識,名詞,一般,*,*,知識,38
139,6,能力,名詞,一般,*,*,能力,38
141,6,身,名詞,一般,*,*,身,38
143,6,つける,動詞,自立,*,*,つける,31
146,6,目指す,動詞,自立,*,*,目指す,31
152,7,セクション,名詞,一般,*,*,セクション,38
154,7,中心,名詞,一般,*,*,中心,38
156,7,TOEFL,名詞,固有名詞,一般,*,TOEFL,41
157,7,テスト,名詞,サ変接続,*,*,テスト,36
159,7,各自,名詞,副詞可能,*,*,各自,67
161,7,スコア,名詞,一般,*,*,スコア,38
163,7,向上,名詞,サ変接続,*,*,向上,36
168,8,学問分野,名詞,固有名詞,一般,*,学問分野,41
170,8,英語,名詞,一般,*,*,英語,38
172,8,知識,名詞,一般,*,*,知識,38
174,8,広げる,動詞,自立,*,*,広げる,31
177,8,英語,名詞,一般,*,*,英語,38
179,8,全般,名詞,一般,*,*,全般,38
