Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
4,0,社会的,名詞,固有名詞,一般,*,社会的,41
6,0,既定,名詞,一般,*,*,既定,38
9,0,性別,名詞,一般,*,*,性別,38
14,0,ジェンダー,名詞,固有名詞,一般,*,GENDER,41
17,0,考え方,名詞,一般,*,*,考え方,38
19,0,理解,名詞,サ変接続,*,*,理解,36
20,0,できる,動詞,自立,*,*,できる,31
25,1,性別,名詞,一般,*,*,性別,38
27,1,関わる,動詞,自立,*,*,関わる,31
28,1,身の回り,名詞,一般,*,*,身の回り,38
30,1,個人,名詞,一般,*,*,個人,38
31,1,的,名詞,接尾,形容動詞語幹,*,的,52
33,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
36,1,社会,名詞,一般,*,*,社会,38
37,1,的,名詞,接尾,形容動詞語幹,*,的,52
39,1,問題,名詞,ナイ形容詞語幹,*,*,問題,37
41,1,つなげ,動詞,自立,*,*,つなげる,31
43,1,考える,動詞,自立,*,*,考える,31
46,1,できる,動詞,自立,*,*,できる,31
51,2,現代社会,名詞,固有名詞,一般,*,現代社会,41
54,2,性別,名詞,一般,*,*,性別,38
56,2,具体的,名詞,固有名詞,一般,*,具体的,41
61,2,問題,名詞,ナイ形容詞語幹,*,*,問題,37
63,2,ある,動詞,自立,*,*,ある,31
67,2,根拠,名詞,一般,*,*,根拠,38
69,2,なる,動詞,自立,*,*,なる,31
70,2,具体,名詞,一般,*,*,具体,38
71,2,的,名詞,接尾,形容動詞語幹,*,的,52
73,2,データ,名詞,一般,*,*,データ,38
75,2,事例,名詞,一般,*,*,事例,38
77,2,挙げ,動詞,自立,*,*,挙げる,31
79,2,説明,名詞,サ変接続,*,*,説明,36
83,2,できる,動詞,自立,*,*,できる,31
88,3,以上,名詞,非自立,副詞可能,*,以上,66
90,3,知識,名詞,一般,*,*,知識,38
92,3,もと,名詞,一般,*,*,もと,38
95,3,性別,名詞,一般,*,*,性別,38
97,3,関わる,動詞,自立,*,*,関わる,31
98,3,現代,名詞,一般,*,*,現代,38
100,3,さまざま,名詞,形容動詞語幹,*,*,さまざま,40
102,3,社会問題,名詞,固有名詞,一般,*,社会問題,41
105,3,対応,名詞,サ変接続,*,*,対応,36
110,3,根拠,名詞,一般,*,*,根拠,38
112,3,提示,名詞,サ変接続,*,*,提示,36
115,3,説得,名詞,サ変接続,*,*,説得,36
116,3,的,名詞,接尾,形容動詞語幹,*,的,52
118,3,論ずる,動詞,自立,*,*,論ずる,31
121,3,できる,動詞,自立,*,*,できる,31
127,4,社会的,名詞,固有名詞,一般,*,社会的,41
129,4,既定,名詞,一般,*,*,既定,38
132,4,性別,名詞,一般,*,*,性別,38
137,4,ジェンダー,名詞,固有名詞,一般,*,GENDER,41
140,4,考え方,名詞,一般,*,*,考え方,38
142,4,理解,名詞,サ変接続,*,*,理解,36
143,4,できる,動詞,自立,*,*,できる,31
148,5,性別,名詞,一般,*,*,性別,38
150,5,関わる,動詞,自立,*,*,関わる,31
