Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,科目,名詞,一般,*,*,科目,38
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,受講,名詞,サ変接続,*,*,受講,36
9,0,者,名詞,接尾,一般,*,者,51
11,0,以下,名詞,非自立,副詞可能,*,以下,66
13,0,目標,名詞,一般,*,*,目標,38
15,0,達成,名詞,サ変接続,*,*,達成,36
20,1,科学技術,名詞,固有名詞,一般,*,科学技術,41
22,1,社会,名詞,一般,*,*,社会,38
24,1,環境,名詞,一般,*,*,環境,38
26,1,正負,名詞,一般,*,*,正負,38
27,1,両面,名詞,一般,*,*,両面,38
30,1,影響,名詞,サ変接続,*,*,影響,36
32,1,与える,動詞,自立,*,*,与える,31
35,1,理解,名詞,サ変接続,*,*,理解,36
40,2,予防,名詞,サ変接続,*,*,予防,36
41,2,倫理,名詞,一般,*,*,倫理,38
43,2,志向,名詞,サ変接続,*,*,志向,36
44,2,倫理,名詞,一般,*,*,倫理,38
46,2,理解,名詞,サ変接続,*,*,理解,36
51,3,倫理的,名詞,固有名詞,一般,*,倫理的,41
52,3,意思決定,名詞,固有名詞,一般,*,意思決定,41
54,3,方法,名詞,一般,*,*,方法,38
56,3,修得,名詞,サ変接続,*,*,修得,36
61,4,自分自身,名詞,固有名詞,一般,*,自分自身,41
63,4,強み,名詞,一般,*,*,強み,38
69,4,理解,名詞,サ変接続,*,*,理解,36
74,5,よく,副詞,一般,*,*,よく,34
75,5,生きること,名詞,固有名詞,一般,*,生きること,41
79,5,being,名詞,固有名詞,一般,*,being,41
82,5,構成,名詞,サ変接続,*,*,構成,36
84,5,要素,名詞,一般,*,*,要素,38
86,5,理解,名詞,サ変接続,*,*,理解,36
90,5,他者,名詞,一般,*,*,他者,38
93,5,貢献,名詞,サ変接続,*,*,貢献,36
95,5,自ら,名詞,副詞可能,*,*,自ら,67
99,5,being,名詞,固有名詞,一般,*,being,41
101,5,関係,名詞,サ変接続,*,*,関係,36
105,5,認識,名詞,サ変接続,*,*,認識,36
110,6,科学者,名詞,固有名詞,一般,*,科学者,41
112,6,技術者,名詞,固有名詞,一般,*,技術者,41
114,6,重視,名詞,サ変接続,*,*,重視,36
117,6,価値,名詞,一般,*,*,価値,38
119,6,理解,名詞,サ変接続,*,*,理解,36
124,6,共有,名詞,サ変接続,*,*,共有,36
129,6,態度,名詞,一般,*,*,態度,38
131,6,持つ,動詞,自立,*,*,持つ,31
135,7,組織,名詞,サ変接続,*,*,組織,36
137,7,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
139,7,理解,名詞,サ変接続,*,*,理解,36
144,7,なか,名詞,非自立,副詞可能,*,なか,66
149,7,行動,名詞,サ変接続,*,*,行動,36
153,7,設計,名詞,サ変接続,*,*,設計,36
159,8,責任,名詞,一般,*,*,責任,38
160,8,ある,動詞,自立,*,*,ある,31
161,8,研究,名詞,サ変接続,*,*,研究,36
162,8,活動,名詞,サ変接続,*,*,活動,36
168,8,理解,名詞,サ変接続,*,*,理解,36
171,8,研究者,名詞,一般,*,*,研究者,38
173,8,重視,名詞,サ変接続,*,*,重視,36
176,8,価値,名詞,一般,*,*,価値,38
178,8,共有,名詞,サ変接続,*,*,共有,36
182,9,科目,名詞,一般,*,*,科目,38
184,9,履修,名詞,サ変接続,*,*,履修,36
