Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,日本語,名詞,一般,*,*,日本語,38
3,0,基本,名詞,一般,*,*,基本,38
4,0,的,名詞,接尾,形容動詞語幹,*,的,52
6,0,会話,名詞,サ変接続,*,*,会話,36
7,0,表現,名詞,サ変接続,*,*,表現,36
9,0,言葉,名詞,一般,*,*,言葉,38
11,0,学び,動詞,自立,*,*,学ぶ,31
13,0,学内,名詞,一般,*,*,学内,38
15,0,日常生活,名詞,固有名詞,一般,*,日常生活,41
17,0,使う,動詞,自立,*,*,使う,31
20,0,できる,動詞,自立,*,*,できる,31
23,1,基本,名詞,一般,*,*,基本,38
24,1,的,名詞,接尾,形容動詞語幹,*,的,52
26,1,日本語表現,名詞,固有名詞,一般,*,日本語表現,41
28,1,用い,動詞,自立,*,*,用いる,31
31,1,一定,名詞,サ変接続,*,*,一定,36
33,1,長さ,名詞,固有名詞,一般,*,長さ,41
35,1,会話,名詞,サ変接続,*,*,会話,36
37,1,組み立てる,動詞,自立,*,*,組み立てる,31
40,1,できる,動詞,自立,*,*,できる,31
43,2,学ん,動詞,自立,*,*,学ぶ,31
45,2,日本語,名詞,一般,*,*,日本語,38
47,2,使っ,動詞,自立,*,*,使う,31
50,2,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
55,2,できる,動詞,自立,*,*,できる,31
58,3,日本文化,名詞,固有名詞,一般,*,日本文化,41
60,3,社会,名詞,一般,*,*,社会,38
63,3,考え,名詞,一般,*,*,考え,38
65,3,表明,名詞,サ変接続,*,*,表明,36
69,3,できる,動詞,自立,*,*,できる,31
0,0,日本語,名詞,一般,*,*,日本語,38
1,0,初級,名詞,一般,*,*,初級,38
2,0,会話,名詞,サ変接続,*,*,会話,36
3,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
4,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
0,0,日本語,名詞,一般,*,*,日本語,38
1,0,初級,名詞,一般,*,*,初級,38
2,0,会話,名詞,サ変接続,*,*,会話,36
3,0,コミュニケーション,名詞,一般,*,*,コミュニケーション,38
4,0,プレゼンテーション,名詞,一般,*,*,プレゼンテーション,38
0,0,日本語,名詞,一般,*,*,日本語,38
1,0,初級,名詞,一般,*,*,初級,38
2,0,会話,名詞,サ変接続,*,*,会話,36
