Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,科目,名詞,一般,*,*,科目,38
4,0,履修,名詞,サ変接続,*,*,履修,36
9,0,次,名詞,一般,*,*,次,38
11,0,能力,名詞,一般,*,*,能力,38
13,0,修得,名詞,サ変接続,*,*,修得,36
18,1,実験,名詞,サ変接続,*,*,実験,36
20,1,講義,名詞,サ変接続,*,*,講義,36
23,1,テーマ,名詞,一般,*,*,テーマ,38
25,1,化学,名詞,一般,*,*,化学,38
27,1,基本的,名詞,固有名詞,一般,*,基本的,41
28,1,事項,名詞,一般,*,*,事項,38
30,1,理解,名詞,サ変接続,*,*,理解,36
33,1,演習問題,名詞,固有名詞,一般,*,演習問題,41
35,1,解答,名詞,サ変接続,*,*,解答,36
36,1,できる,動詞,自立,*,*,できる,31
40,2,化学実験,名詞,固有名詞,一般,*,化学実験,41
42,2,行う,動詞,自立,*,*,行う,31
43,2,とき,名詞,非自立,副詞可能,*,とき,66
45,2,必要,名詞,形容動詞語幹,*,*,必要,40
48,2,正確,名詞,形容動詞語幹,*,*,正確,40
50,2,測定,名詞,サ変接続,*,*,測定,36
52,2,できる,動詞,自立,*,*,できる,31
56,3,実験,名詞,サ変接続,*,*,実験,36
57,3,者,名詞,接尾,一般,*,者,51
59,3,周囲,名詞,一般,*,*,周囲,38
61,3,環境,名詞,一般,*,*,環境,38
63,3,安全,名詞,形容動詞語幹,*,*,安全,40
65,3,配慮,名詞,サ変接続,*,*,配慮,36
68,3,実験,名詞,サ変接続,*,*,実験,36
69,3,操作,名詞,サ変接続,*,*,操作,36
71,3,できる,動詞,自立,*,*,できる,31
75,4,実験結果,名詞,固有名詞,一般,*,実験結果,41
77,4,整理,名詞,サ変接続,*,*,整理,36
79,4,検討,名詞,サ変接続,*,*,検討,36
81,4,説明,名詞,サ変接続,*,*,説明,36
85,4,でき,動詞,自立,*,*,できる,31
89,4,論理的,名詞,固有名詞,一般,*,論理的,41
91,4,考察,名詞,サ変接続,*,*,考察,36
94,4,明確,名詞,形容動詞語幹,*,*,明確,40
96,4,レポート,名詞,サ変接続,*,*,レポート,36
98,4,書ける,動詞,自立,*,*,書ける,31
102,5,科目,名詞,一般,*,*,科目,38
104,5,履修,名詞,サ変接続,*,*,履修,36
109,5,次,名詞,一般,*,*,次,38
111,5,能力,名詞,一般,*,*,能力,38
113,5,修得,名詞,サ変接続,*,*,修得,36
118,6,実験,名詞,サ変接続,*,*,実験,36
120,6,講義,名詞,サ変接続,*,*,講義,36
123,6,テーマ,名詞,一般,*,*,テーマ,38
125,6,化学,名詞,一般,*,*,化学,38
127,6,基本的,名詞,固有名詞,一般,*,基本的,41
128,6,事項,名詞,一般,*,*,事項,38
130,6,理解,名詞,サ変接続,*,*,理解,36
133,6,演習問題,名詞,固有名詞,一般,*,演習問題,41
135,6,解答,名詞,サ変接続,*,*,解答,36
136,6,できる,動詞,自立,*,*,できる,31
140,7,化学実験,名詞,固有名詞,一般,*,化学実験,41
142,7,行う,動詞,自立,*,*,行う,31
143,7,とき,名詞,非自立,副詞可能,*,とき,66
145,7,必要,名詞,形容動詞語幹,*,*,必要,40
148,7,正確,名詞,形容動詞語幹,*,*,正確,40
150,7,測定,名詞,サ変接続,*,*,測定,36
152,7,できる,動詞,自立,*,*,できる,31
156,8,実験,名詞,サ変接続,*,*,実験,36
157,8,者,名詞,接尾,一般,*,者,51
159,8,周囲,名詞,一般,*,*,周囲,38
161,8,環境,名詞,一般,*,*,環境,38
163,8,安全,名詞,形容動詞語幹,*,*,安全,40
165,8,配慮,名詞,サ変接続,*,*,配慮,36
168,8,実験,名詞,サ変接続,*,*,実験,36
169,8,操作,名詞,サ変接続,*,*,操作,36
171,8,できる,動詞,自立,*,*,できる,31
175,9,実験結果,名詞,固有名詞,一般,*,実験結果,41
177,9,整理,名詞,サ変接続,*,*,整理,36
179,9,検討,名詞,サ変接続,*,*,検討,36
181,9,説明,名詞,サ変接続,*,*,説明,36
185,9,でき,動詞,自立,*,*,できる,31
189,9,論理的,名詞,固有名詞,一般,*,論理的,41
191,9,考察,名詞,サ変接続,*,*,考察,36
194,9,明確,名詞,形容動詞語幹,*,*,明確,40
196,9,レポート,名詞,サ変接続,*,*,レポート,36
198,9,書ける,動詞,自立,*,*,書ける,31
202,10,科目,名詞,一般,*,*,科目,38
204,10,履修,名詞,サ変接続,*,*,履修,36
209,10,次,名詞,一般,*,*,次,38
211,10,能力,名詞,一般,*,*,能力,38
213,10,修得,名詞,サ変接続,*,*,修得,36
218,11,実験,名詞,サ変接続,*,*,実験,36
220,11,講義,名詞,サ変接続,*,*,講義,36
223,11,テーマ,名詞,一般,*,*,テーマ,38
225,11,化学,名詞,一般,*,*,化学,38
227,11,基本的,名詞,固有名詞,一般,*,基本的,41
228,11,事項,名詞,一般,*,*,事項,38
230,11,理解,名詞,サ変接続,*,*,理解,36
233,11,演習問題,名詞,固有名詞,一般,*,演習問題,41
235,11,解答,名詞,サ変接続,*,*,解答,36
236,11,できる,動詞,自立,*,*,できる,31
240,12,化学実験,名詞,固有名詞,一般,*,化学実験,41
242,12,行う,動詞,自立,*,*,行う,31
243,12,とき,名詞,非自立,副詞可能,*,とき,66
245,12,必要,名詞,形容動詞語幹,*,*,必要,40
248,12,正確,名詞,形容動詞語幹,*,*,正確,40
250,12,測定,名詞,サ変接続,*,*,測定,36
252,12,できる,動詞,自立,*,*,できる,31
256,13,実験,名詞,サ変接続,*,*,実験,36
257,13,者,名詞,接尾,一般,*,者,51
259,13,周囲,名詞,一般,*,*,周囲,38
261,13,環境,名詞,一般,*,*,環境,38
263,13,安全,名詞,形容動詞語幹,*,*,安全,40
265,13,配慮,名詞,サ変接続,*,*,配慮,36
268,13,実験,名詞,サ変接続,*,*,実験,36
269,13,操作,名詞,サ変接続,*,*,操作,36
271,13,できる,動詞,自立,*,*,できる,31
275,14,実験結果,名詞,固有名詞,一般,*,実験結果,41
277,14,整理,名詞,サ変接続,*,*,整理,36
279,14,検討,名詞,サ変接続,*,*,検討,36
281,14,説明,名詞,サ変接続,*,*,説明,36
285,14,でき,動詞,自立,*,*,できる,31
289,14,論理的,名詞,固有名詞,一般,*,論理的,41
291,14,考察,名詞,サ変接続,*,*,考察,36
294,14,明確,名詞,形容動詞語幹,*,*,明確,40
296,14,レポート,名詞,サ変接続,*,*,レポート,36
298,14,書ける,動詞,自立,*,*,書ける,31
302,15,科目,名詞,一般,*,*,科目,38
304,15,履修,名詞,サ変接続,*,*,履修,36
