Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,教育学,名詞,固有名詞,一般,*,教育学,41
2,0,基本,名詞,一般,*,*,基本,38
3,0,的,名詞,接尾,形容動詞語幹,*,的,52
5,0,概念,名詞,一般,*,*,概念,38
7,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
8,0,知識,名詞,一般,*,*,知識,38
10,0,習得,名詞,サ変接続,*,*,習得,36
13,0,自己,名詞,一般,*,*,自己,38
15,0,教育,名詞,サ変接続,*,*,教育,36
16,0,体験,名詞,サ変接続,*,*,体験,36
18,0,脱構築,名詞,固有名詞,一般,*,脱構築,41
21,0,教職,名詞,一般,*,*,教職,38
23,0,自分,名詞,一般,*,*,自分,38
25,0,教育,名詞,サ変接続,*,*,教育,36
26,0,観,名詞,接尾,一般,*,観,51
28,0,形成,名詞,サ変接続,*,*,形成,36
31,0,21世紀,名詞,固有名詞,一般,*,21世紀,41
33,0,教育,名詞,サ変接続,*,*,教育,36
36,0,グローバルな,名詞,固有名詞,一般,*,グローバルな,41
37,0,視野,名詞,一般,*,*,視野,38
39,0,考え,動詞,自立,*,*,考える,31
41,0,自分,名詞,一般,*,*,自分,38
44,0,意見,名詞,サ変接続,*,*,意見,36
46,0,持つ,動詞,自立,*,*,持つ,31
49,0,できる,動詞,自立,*,*,できる,31
52,0,なる,動詞,自立,*,*,なる,31
54,0,教育,名詞,サ変接続,*,*,教育,36
55,0,学,名詞,接尾,一般,*,学,51
57,0,基本,名詞,一般,*,*,基本,38
58,0,的,名詞,接尾,形容動詞語幹,*,的,52
60,0,概念,名詞,一般,*,*,概念,38
62,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
63,0,知識,名詞,一般,*,*,知識,38
65,0,習得,名詞,サ変接続,*,*,習得,36
68,0,自己,名詞,一般,*,*,自己,38
70,0,教育,名詞,サ変接続,*,*,教育,36
71,0,体験,名詞,サ変接続,*,*,体験,36
73,0,脱構築,名詞,固有名詞,一般,*,脱構築,41
76,0,教職,名詞,一般,*,*,教職,38
78,0,自分,名詞,一般,*,*,自分,38
80,0,教育,名詞,サ変接続,*,*,教育,36
81,0,観,名詞,接尾,一般,*,観,51
83,0,形成,名詞,サ変接続,*,*,形成,36
86,0,21世紀,名詞,固有名詞,一般,*,21世紀,41
88,0,教育,名詞,サ変接続,*,*,教育,36
91,0,グローバルな,名詞,固有名詞,一般,*,グローバルな,41
92,0,視野,名詞,一般,*,*,視野,38
94,0,考え,動詞,自立,*,*,考える,31
96,0,自分,名詞,一般,*,*,自分,38
99,0,意見,名詞,サ変接続,*,*,意見,36
101,0,持つ,動詞,自立,*,*,持つ,31
104,0,できる,動詞,自立,*,*,できる,31
107,0,なる,動詞,自立,*,*,なる,31
112,0,到達,名詞,サ変接続,*,*,到達,36
113,0,目標,名詞,一般,*,*,目標,38
117,0,教育,名詞,サ変接続,*,*,教育,36
119,0,理念,名詞,一般,*,*,理念,38
121,0,教育,名詞,サ変接続,*,*,教育,36
123,0,歴史,名詞,一般,*,*,歴史,38
125,0,思想,名詞,一般,*,*,思想,38
127,0,理解,名詞,サ変接続,*,*,理解,36
