Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,金属,名詞,一般,*,*,金属,38
2,0,各種,名詞,一般,*,*,各種,38
3,0,プロセス,名詞,一般,*,*,プロセス,38
6,0,基礎,名詞,一般,*,*,基礎,38
8,0,実例,名詞,一般,*,*,実例,38
10,0,学ぶ,動詞,自立,*,*,学ぶ,31
12,0,金属,名詞,一般,*,*,金属,38
14,0,各種,名詞,一般,*,*,各種,38
15,0,プロセス,名詞,一般,*,*,プロセス,38
18,0,基礎,名詞,一般,*,*,基礎,38
20,0,実例,名詞,一般,*,*,実例,38
22,0,学ぶ,動詞,自立,*,*,学ぶ,31
24,0,金属,名詞,一般,*,*,金属,38
26,0,各種,名詞,一般,*,*,各種,38
27,0,プロセス,名詞,一般,*,*,プロセス,38
30,0,基礎,名詞,一般,*,*,基礎,38
32,0,実例,名詞,一般,*,*,実例,38
34,0,学ぶ,動詞,自立,*,*,学ぶ,31
0,0,金属,名詞,一般,*,*,金属,38
2,0,各種,名詞,一般,*,*,各種,38
3,0,プロセス,名詞,一般,*,*,プロセス,38
6,0,基礎,名詞,一般,*,*,基礎,38
8,0,実例,名詞,一般,*,*,実例,38
10,0,学ぶ,動詞,自立,*,*,学ぶ,31
12,0,金属,名詞,一般,*,*,金属,38
14,0,各種,名詞,一般,*,*,各種,38
15,0,プロセス,名詞,一般,*,*,プロセス,38
18,0,基礎,名詞,一般,*,*,基礎,38
20,0,実例,名詞,一般,*,*,実例,38
22,0,学ぶ,動詞,自立,*,*,学ぶ,31
24,0,金属,名詞,一般,*,*,金属,38
26,0,各種,名詞,一般,*,*,各種,38
27,0,プロセス,名詞,一般,*,*,プロセス,38
30,0,基礎,名詞,一般,*,*,基礎,38
32,0,実例,名詞,一般,*,*,実例,38
34,0,学ぶ,動詞,自立,*,*,学ぶ,31
0,0,金属,名詞,一般,*,*,金属,38
2,0,各種,名詞,一般,*,*,各種,38
3,0,プロセス,名詞,一般,*,*,プロセス,38
6,0,基礎,名詞,一般,*,*,基礎,38
8,0,実例,名詞,一般,*,*,実例,38
10,0,学ぶ,動詞,自立,*,*,学ぶ,31
12,0,金属,名詞,一般,*,*,金属,38
14,0,各種,名詞,一般,*,*,各種,38
15,0,プロセス,名詞,一般,*,*,プロセス,38
18,0,基礎,名詞,一般,*,*,基礎,38
20,0,実例,名詞,一般,*,*,実例,38
22,0,学ぶ,動詞,自立,*,*,学ぶ,31
24,0,金属,名詞,一般,*,*,金属,38
26,0,各種,名詞,一般,*,*,各種,38
27,0,プロセス,名詞,一般,*,*,プロセス,38
30,0,基礎,名詞,一般,*,*,基礎,38
32,0,実例,名詞,一般,*,*,実例,38
34,0,学ぶ,動詞,自立,*,*,学ぶ,31
0,0,金属,名詞,一般,*,*,金属,38
2,0,各種,名詞,一般,*,*,各種,38
3,0,プロセス,名詞,一般,*,*,プロセス,38
6,0,基礎,名詞,一般,*,*,基礎,38
8,0,実例,名詞,一般,*,*,実例,38
10,0,学ぶ,動詞,自立,*,*,学ぶ,31
12,0,金属,名詞,一般,*,*,金属,38
14,0,各種,名詞,一般,*,*,各種,38
15,0,プロセス,名詞,一般,*,*,プロセス,38
18,0,基礎,名詞,一般,*,*,基礎,38
20,0,実例,名詞,一般,*,*,実例,38
22,0,学ぶ,動詞,自立,*,*,学ぶ,31
24,0,金属,名詞,一般,*,*,金属,38
26,0,各種,名詞,一般,*,*,各種,38
