Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
18,0,基本,名詞,一般,*,*,基本,38
19,0,的,名詞,接尾,形容動詞語幹,*,的,52
21,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
23,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
31,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
33,0,基本,名詞,一般,*,*,基本,38
34,0,的,名詞,接尾,形容動詞語幹,*,的,52
36,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
38,0,解く,動詞,自立,*,*,解く,31
41,0,できる,動詞,自立,*,*,できる,31
45,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
46,0,論,名詞,接尾,一般,*,論,51
48,0,基本,名詞,一般,*,*,基本,38
49,0,的,名詞,接尾,形容動詞語幹,*,的,52
51,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
53,0,説明,名詞,サ変接続,*,*,説明,36
57,0,できる,動詞,自立,*,*,できる,31
61,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
62,0,論,名詞,接尾,一般,*,論,51
64,0,基本,名詞,一般,*,*,基本,38
65,0,的,名詞,接尾,形容動詞語幹,*,的,52
67,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
69,0,解く,動詞,自立,*,*,解く,31
72,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
18,0,基本,名詞,一般,*,*,基本,38
19,0,的,名詞,接尾,形容動詞語幹,*,的,52
21,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
23,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
31,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
33,0,基本,名詞,一般,*,*,基本,38
34,0,的,名詞,接尾,形容動詞語幹,*,的,52
36,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
38,0,解く,動詞,自立,*,*,解く,31
41,0,できる,動詞,自立,*,*,できる,31
45,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
46,0,論,名詞,接尾,一般,*,論,51
48,0,基本,名詞,一般,*,*,基本,38
49,0,的,名詞,接尾,形容動詞語幹,*,的,52
51,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
53,0,説明,名詞,サ変接続,*,*,説明,36
57,0,できる,動詞,自立,*,*,できる,31
61,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
62,0,論,名詞,接尾,一般,*,論,51
64,0,基本,名詞,一般,*,*,基本,38
65,0,的,名詞,接尾,形容動詞語幹,*,的,52
67,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
69,0,解く,動詞,自立,*,*,解く,31
72,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
18,0,基本,名詞,一般,*,*,基本,38
19,0,的,名詞,接尾,形容動詞語幹,*,的,52
21,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
23,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
31,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
33,0,基本,名詞,一般,*,*,基本,38
34,0,的,名詞,接尾,形容動詞語幹,*,的,52
36,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
38,0,解く,動詞,自立,*,*,解く,31
41,0,できる,動詞,自立,*,*,できる,31
45,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
46,0,論,名詞,接尾,一般,*,論,51
48,0,基本,名詞,一般,*,*,基本,38
49,0,的,名詞,接尾,形容動詞語幹,*,的,52
51,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
53,0,説明,名詞,サ変接続,*,*,説明,36
57,0,できる,動詞,自立,*,*,できる,31
61,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
62,0,論,名詞,接尾,一般,*,論,51
64,0,基本,名詞,一般,*,*,基本,38
65,0,的,名詞,接尾,形容動詞語幹,*,的,52
67,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
69,0,解く,動詞,自立,*,*,解く,31
72,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
18,0,基本,名詞,一般,*,*,基本,38
19,0,的,名詞,接尾,形容動詞語幹,*,的,52
21,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
23,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
31,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
33,0,基本,名詞,一般,*,*,基本,38
34,0,的,名詞,接尾,形容動詞語幹,*,的,52
36,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
38,0,解く,動詞,自立,*,*,解く,31
41,0,できる,動詞,自立,*,*,できる,31
45,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
46,0,論,名詞,接尾,一般,*,論,51
48,0,基本,名詞,一般,*,*,基本,38
49,0,的,名詞,接尾,形容動詞語幹,*,的,52
51,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
53,0,説明,名詞,サ変接続,*,*,説明,36
57,0,できる,動詞,自立,*,*,できる,31
61,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
62,0,論,名詞,接尾,一般,*,論,51
64,0,基本,名詞,一般,*,*,基本,38
65,0,的,名詞,接尾,形容動詞語幹,*,的,52
67,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
69,0,解く,動詞,自立,*,*,解く,31
72,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
18,0,基本,名詞,一般,*,*,基本,38
19,0,的,名詞,接尾,形容動詞語幹,*,的,52
21,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
23,0,説明,名詞,サ変接続,*,*,説明,36
27,0,できる,動詞,自立,*,*,できる,31
31,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
33,0,基本,名詞,一般,*,*,基本,38
34,0,的,名詞,接尾,形容動詞語幹,*,的,52
36,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
38,0,解く,動詞,自立,*,*,解く,31
41,0,できる,動詞,自立,*,*,できる,31
45,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
46,0,論,名詞,接尾,一般,*,論,51
48,0,基本,名詞,一般,*,*,基本,38
49,0,的,名詞,接尾,形容動詞語幹,*,的,52
51,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
53,0,説明,名詞,サ変接続,*,*,説明,36
57,0,できる,動詞,自立,*,*,できる,31
61,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
62,0,論,名詞,接尾,一般,*,論,51
64,0,基本,名詞,一般,*,*,基本,38
65,0,的,名詞,接尾,形容動詞語幹,*,的,52
67,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
69,0,解く,動詞,自立,*,*,解く,31
72,0,できる,動詞,自立,*,*,できる,31
0,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
1,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
2,0,論,名詞,接尾,一般,*,論,51
0,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
1,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
2,0,論,名詞,接尾,一般,*,論,51
0,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
1,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
2,0,論,名詞,接尾,一般,*,論,51
0,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
1,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
2,0,論,名詞,接尾,一般,*,論,51
0,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
1,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
2,0,論,名詞,接尾,一般,*,論,51
0,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
1,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
2,0,論,名詞,接尾,一般,*,論,51
0,0,工業,名詞,一般,*,*,工業,38
1,0,数学,名詞,一般,*,*,数学,38
2,0,演習,名詞,サ変接続,*,*,演習,36
0,0,工業,名詞,一般,*,*,工業,38
1,0,数学,名詞,一般,*,*,数学,38
2,0,演習,名詞,サ変接続,*,*,演習,36
0,0,工業,名詞,一般,*,*,工業,38
1,0,数学,名詞,一般,*,*,数学,38
2,0,演習,名詞,サ変接続,*,*,演習,36
0,0,工業,名詞,一般,*,*,工業,38
1,0,数学,名詞,一般,*,*,数学,38
2,0,演習,名詞,サ変接続,*,*,演習,36
0,0,工業,名詞,一般,*,*,工業,38
1,0,数学,名詞,一般,*,*,数学,38
2,0,演習,名詞,サ変接続,*,*,演習,36
0,0,工業,名詞,一般,*,*,工業,38
1,0,数学,名詞,一般,*,*,数学,38
2,0,演習,名詞,サ変接続,*,*,演習,36
0,0,工業,名詞,一般,*,*,工業,38
1,0,数学,名詞,一般,*,*,数学,38
2,0,演習,名詞,サ変接続,*,*,演習,36
0,0,1階,名詞,固有名詞,一般,*,1階,41
1,0,線形,名詞,一般,*,*,線形,38
2,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
4,0,高階,名詞,固有名詞,人名,姓,高階,43
5,0,線形,名詞,一般,*,*,線形,38
6,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
7,0,基本解,名詞,固有名詞,一般,*,基本解,41
9,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
10,0,解,名詞,サ変接続,*,*,解,36
12,0,一般,名詞,一般,*,*,一般,38
13,0,解,名詞,サ変接続,*,*,解,36
15,0,ロンスキー行列式,名詞,固有名詞,一般,*,ロンスキー行列式,41
17,0,理解,名詞,サ変接続,*,*,理解,36
18,0,複素関数,名詞,固有名詞,一般,*,複素関数,41
20,0,微分,名詞,サ変接続,*,*,微分,36
22,0,線形,名詞,一般,*,*,線形,38
23,0,2階,名詞,固有名詞,一般,*,2階,41
24,0,偏微分方程式,名詞,固有名詞,一般,*,偏微分方程式,41
26,0,基礎,名詞,一般,*,*,基礎,38
29,0,方程式,名詞,一般,*,*,方程式,38
31,0,導出,名詞,サ変接続,*,*,導出,36
33,0,楕円型,名詞,固有名詞,一般,*,楕円型,41
34,0,2階,名詞,固有名詞,一般,*,2階,41
35,0,偏微分方程式,名詞,固有名詞,一般,*,偏微分方程式,41
37,0,満たす,動詞,自立,*,*,満たす,31
38,0,関係,名詞,サ変接続,*,*,関係,36
39,0,式,名詞,接尾,一般,*,式,51
40,0,高,名詞,接尾,一般,*,高,51
41,0,階,名詞,接尾,一般,*,階,51
42,0,線形,名詞,一般,*,*,線形,38
43,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
45,0,連立,名詞,サ変接続,*,*,連立,36
46,0,線形,名詞,一般,*,*,線形,38
47,0,常微分方程式,名詞,固有名詞,一般,*,常微分方程式,41
48,0,微分,名詞,サ変接続,*,*,微分,36
49,0,演算子,名詞,固有名詞,一般,*,演算子,41
51,0,定数変化法,名詞,固有名詞,一般,*,定数変化法,41
53,0,固有値,名詞,一般,*,*,固有値,38
