Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,0,破損,名詞,サ変接続,*,*,破損,36
18,0,破壊,名詞,サ変接続,*,*,破壊,36
20,0,力学,名詞,一般,*,*,力学,38
22,0,深く,形容詞,自立,*,*,深い,10
23,0,理解,名詞,サ変接続,*,*,理解,36
30,0,強度,名詞,一般,*,*,強度,38
32,0,基本的,名詞,固有名詞,一般,*,基本的,41
33,0,特性,名詞,一般,*,*,特性,38
35,0,疲労,名詞,サ変接続,*,*,疲労,36
36,0,強度,名詞,一般,*,*,強度,38
38,0,強度,名詞,一般,*,*,強度,38
39,0,設計,名詞,サ変接続,*,*,設計,36
41,0,基礎,名詞,一般,*,*,基礎,38
43,0,理解,名詞,サ変接続,*,*,理解,36
50,0,機械,名詞,一般,*,*,機械,38
52,0,構造物,名詞,固有名詞,地域,一般,構造物,46
54,0,強度,名詞,一般,*,*,強度,38
55,0,設計,名詞,サ変接続,*,*,設計,36
57,0,適切,名詞,形容動詞語幹,*,*,適切,40
59,0,行える,動詞,自立,*,*,行える,31
63,0,機械,名詞,一般,*,*,機械,38
65,0,構造物,名詞,固有名詞,地域,一般,構造物,46
67,0,保守,名詞,サ変接続,*,*,保守,36
69,0,管理,名詞,サ変接続,*,*,管理,36
71,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
72,0,考察,名詞,サ変接続,*,*,考察,36
74,0,行える,動詞,自立,*,*,行える,31
77,0,講義,名詞,サ変接続,*,*,講義,36
79,0,履修,名詞,サ変接続,*,*,履修,36
83,0,次,名詞,一般,*,*,次,38
85,0,能力,名詞,一般,*,*,能力,38
87,0,修得,名詞,サ変接続,*,*,修得,36
92,0,破損,名詞,サ変接続,*,*,破損,36
94,0,破壊,名詞,サ変接続,*,*,破壊,36
96,0,力学,名詞,一般,*,*,力学,38
98,0,深く,形容詞,自立,*,*,深い,10
99,0,理解,名詞,サ変接続,*,*,理解,36
106,0,強度,名詞,一般,*,*,強度,38
108,0,基本的,名詞,固有名詞,一般,*,基本的,41
109,0,特性,名詞,一般,*,*,特性,38
111,0,疲労,名詞,サ変接続,*,*,疲労,36
112,0,強度,名詞,一般,*,*,強度,38
114,0,強度,名詞,一般,*,*,強度,38
115,0,設計,名詞,サ変接続,*,*,設計,36
117,0,基礎,名詞,一般,*,*,基礎,38
119,0,理解,名詞,サ変接続,*,*,理解,36
126,0,機械,名詞,一般,*,*,機械,38
128,0,構造物,名詞,固有名詞,地域,一般,構造物,46
130,0,強度,名詞,一般,*,*,強度,38
131,0,設計,名詞,サ変接続,*,*,設計,36
133,0,適切,名詞,形容動詞語幹,*,*,適切,40
135,0,行える,動詞,自立,*,*,行える,31
139,0,機械,名詞,一般,*,*,機械,38
141,0,構造物,名詞,固有名詞,地域,一般,構造物,46
143,0,保守,名詞,サ変接続,*,*,保守,36
145,0,管理,名詞,サ変接続,*,*,管理,36
147,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
148,0,考察,名詞,サ変接続,*,*,考察,36
150,0,行える,動詞,自立,*,*,行える,31
154,0,過去,名詞,副詞可能,*,*,過去,67
156,0,破損,名詞,サ変接続,*,*,破損,36
157,0,事例,名詞,一般,*,*,事例,38
159,0,基づい,動詞,自立,*,*,基づく,31
161,0,設計,名詞,サ変接続,*,*,設計,36
164,0,危険,名詞,形容動詞語幹,*,*,危険,40
166,0,理解,名詞,サ変接続,*,*,理解,36
173,0,エネルギ,名詞,一般,*,*,エネルギ,38
174,0,解放,名詞,サ変接続,*,*,解放,36
175,0,率,名詞,接尾,一般,*,率,51
177,0,原理,名詞,一般,*,*,原理,38
179,0,理解,名詞,サ変接続,*,*,理解,36
186,0,線形,名詞,一般,*,*,線形,38
187,0,破壊力学,名詞,固有名詞,一般,*,破壊力学,41
189,0,原理,名詞,一般,*,*,原理,38
191,0,理解,名詞,サ変接続,*,*,理解,36
198,0,強度,名詞,一般,*,*,強度,38
200,0,基本的,名詞,固有名詞,一般,*,基本的,41
201,0,特性,名詞,一般,*,*,特性,38
203,0,疲労,名詞,サ変接続,*,*,疲労,36
204,0,強度,名詞,一般,*,*,強度,38
206,0,強度,名詞,一般,*,*,強度,38
207,0,設計,名詞,サ変接続,*,*,設計,36
209,0,基礎,名詞,一般,*,*,基礎,38
211,0,理解,名詞,サ変接続,*,*,理解,36
218,0,機械,名詞,一般,*,*,機械,38
220,0,構造物,名詞,固有名詞,地域,一般,構造物,46
222,0,適切,名詞,形容動詞語幹,*,*,適切,40
224,0,非破壊検査,名詞,固有名詞,一般,*,非破壊検査,41
226,0,選択,名詞,サ変接続,*,*,選択,36
227,0,できる,動詞,自立,*,*,できる,31
231,0,破壊,名詞,サ変接続,*,*,破壊,36
233,0,防止,名詞,サ変接続,*,*,防止,36
235,0,強度,名詞,一般,*,*,強度,38
236,0,設計,名詞,サ変接続,*,*,設計,36
238,0,適切,名詞,形容動詞語幹,*,*,適切,40
240,0,行える,動詞,自立,*,*,行える,31
243,0,科目,名詞,一般,*,*,科目,38
246,0,学習,名詞,サ変接続,*,*,学習,36
247,0,目標,名詞,一般,*,*,目標,38
251,0,機械工学,名詞,固有名詞,一般,*,機械工学,41
253,0,発展,名詞,サ変接続,*,*,発展,36
254,0,的,名詞,接尾,形容動詞語幹,*,的,52
255,0,専門,名詞,一般,*,*,専門,38
256,0,学力,名詞,一般,*,*,学力,38
259,0,専門知識,名詞,固有名詞,一般,*,専門知識,41
261,0,活用,名詞,サ変接続,*,*,活用,36
264,0,新た,名詞,形容動詞語幹,*,*,新た,40
267,0,解決,名詞,サ変接続,*,*,解決,36
269,0,創造的,名詞,固有名詞,一般,*,創造的,41
270,0,提案,名詞,サ変接続,*,*,提案,36
272,0,行う,動詞,自立,*,*,行う,31
273,0,能力,名詞,一般,*,*,能力,38
275,0,習得,名詞,サ変接続,*,*,習得,36
277,0,相当,名詞,サ変接続,*,*,相当,36
281,0,講義,名詞,サ変接続,*,*,講義,36
283,0,履修,名詞,サ変接続,*,*,履修,36
287,0,次,名詞,一般,*,*,次,38
289,0,能力,名詞,一般,*,*,能力,38
291,0,修得,名詞,サ変接続,*,*,修得,36
296,0,破損,名詞,サ変接続,*,*,破損,36
298,0,破壊,名詞,サ変接続,*,*,破壊,36
300,0,力学,名詞,一般,*,*,力学,38
302,0,深く,形容詞,自立,*,*,深い,10
303,0,理解,名詞,サ変接続,*,*,理解,36
310,0,強度,名詞,一般,*,*,強度,38
312,0,基本的,名詞,固有名詞,一般,*,基本的,41
313,0,特性,名詞,一般,*,*,特性,38
315,0,疲労,名詞,サ変接続,*,*,疲労,36
316,0,強度,名詞,一般,*,*,強度,38
318,0,強度,名詞,一般,*,*,強度,38
319,0,設計,名詞,サ変接続,*,*,設計,36
321,0,基礎,名詞,一般,*,*,基礎,38
323,0,理解,名詞,サ変接続,*,*,理解,36
330,0,機械,名詞,一般,*,*,機械,38
332,0,構造物,名詞,固有名詞,地域,一般,構造物,46
334,0,強度,名詞,一般,*,*,強度,38
335,0,設計,名詞,サ変接続,*,*,設計,36
337,0,適切,名詞,形容動詞語幹,*,*,適切,40
339,0,行える,動詞,自立,*,*,行える,31
343,0,機械,名詞,一般,*,*,機械,38
345,0,構造物,名詞,固有名詞,地域,一般,構造物,46
347,0,保守,名詞,サ変接続,*,*,保守,36
349,0,管理,名詞,サ変接続,*,*,管理,36
351,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
352,0,考察,名詞,サ変接続,*,*,考察,36
354,0,行える,動詞,自立,*,*,行える,31
357,0,講義,名詞,サ変接続,*,*,講義,36
359,0,履修,名詞,サ変接続,*,*,履修,36
363,0,次,名詞,一般,*,*,次,38
365,0,能力,名詞,一般,*,*,能力,38
367,0,修得,名詞,サ変接続,*,*,修得,36
372,0,破損,名詞,サ変接続,*,*,破損,36
374,0,破壊,名詞,サ変接続,*,*,破壊,36
376,0,力学,名詞,一般,*,*,力学,38
378,0,深く,形容詞,自立,*,*,深い,10
379,0,理解,名詞,サ変接続,*,*,理解,36
386,0,強度,名詞,一般,*,*,強度,38
388,0,基本的,名詞,固有名詞,一般,*,基本的,41
389,0,特性,名詞,一般,*,*,特性,38
391,0,疲労,名詞,サ変接続,*,*,疲労,36
392,0,強度,名詞,一般,*,*,強度,38
394,0,強度,名詞,一般,*,*,強度,38
395,0,設計,名詞,サ変接続,*,*,設計,36
397,0,基礎,名詞,一般,*,*,基礎,38
399,0,理解,名詞,サ変接続,*,*,理解,36
406,0,機械,名詞,一般,*,*,機械,38
408,0,構造物,名詞,固有名詞,地域,一般,構造物,46
410,0,強度,名詞,一般,*,*,強度,38
411,0,設計,名詞,サ変接続,*,*,設計,36
413,0,適切,名詞,形容動詞語幹,*,*,適切,40
415,0,行える,動詞,自立,*,*,行える,31
419,0,機械,名詞,一般,*,*,機械,38
421,0,構造物,名詞,固有名詞,地域,一般,構造物,46
423,0,保守,名詞,サ変接続,*,*,保守,36
425,0,管理,名詞,サ変接続,*,*,管理,36
427,0,基礎的,名詞,固有名詞,一般,*,基礎的,41
428,0,考察,名詞,サ変接続,*,*,考察,36
430,0,行える,動詞,自立,*,*,行える,31
0,0,破壊,名詞,サ変接続,*,*,破壊,36
3,0,疲労,名詞,サ変接続,*,*,疲労,36
4,0,応力拡大係数,名詞,固有名詞,一般,*,応力拡大係数,41
5,0,エネルギー,名詞,一般,*,*,エネルギー,38
6,0,解放,名詞,サ変接続,*,*,解放,36
7,0,率,名詞,接尾,一般,*,率,51
8,0,破壊,名詞,サ変接続,*,*,破壊,36
9,0,じん性,名詞,一般,*,*,じん性,38
10,0,限界,名詞,一般,*,*,限界,38
11,0,破壊,名詞,サ変接続,*,*,破壊,36
12,0,エネルギー,名詞,一般,*,*,エネルギー,38
14,0,積分,名詞,サ変接続,*,*,積分,36
15,0,破壊,名詞,サ変接続,*,*,破壊,36
18,0,疲労,名詞,サ変接続,*,*,疲労,36
19,0,応力拡大係数,名詞,固有名詞,一般,*,応力拡大係数,41
20,0,エネルギー,名詞,一般,*,*,エネルギー,38
21,0,解放,名詞,サ変接続,*,*,解放,36
22,0,率,名詞,接尾,一般,*,率,51
23,0,破壊,名詞,サ変接続,*,*,破壊,36
24,0,じん性,名詞,一般,*,*,じん性,38
25,0,限界,名詞,一般,*,*,限界,38
26,0,破壊,名詞,サ変接続,*,*,破壊,36
27,0,エネルギー,名詞,一般,*,*,エネルギー,38
29,0,積分,名詞,サ変接続,*,*,積分,36
30,0,破壊,名詞,サ変接続,*,*,破壊,36
31,0,事故,名詞,一般,*,*,事故,38
34,0,エネルギー,名詞,一般,*,*,エネルギー,38
35,0,解放,名詞,サ変接続,*,*,解放,36
36,0,率,名詞,接尾,一般,*,率,51
37,0,応力拡大係数,名詞,固有名詞,一般,*,応力拡大係数,41
38,0,破壊,名詞,サ変接続,*,*,破壊,36
39,0,靭性,名詞,固有名詞,一般,*,靭性,41
41,0,曲線,名詞,一般,*,*,曲線,38
42,0,疲労,名詞,サ変接続,*,*,疲労,36
43,0,非破壊検査,名詞,固有名詞,一般,*,非破壊検査,41
44,0,破壊,名詞,サ変接続,*,*,破壊,36
45,0,制御,名詞,サ変接続,*,*,制御,36
46,0,設計,名詞,サ変接続,*,*,設計,36
47,0,破壊,名詞,サ変接続,*,*,破壊,36
50,0,疲労,名詞,サ変接続,*,*,疲労,36
51,0,応力拡大係数,名詞,固有名詞,一般,*,応力拡大係数,41
52,0,エネルギー,名詞,一般,*,*,エネルギー,38
53,0,解放,名詞,サ変接続,*,*,解放,36
54,0,率,名詞,接尾,一般,*,率,51
55,0,破壊,名詞,サ変接続,*,*,破壊,36
56,0,じん性,名詞,一般,*,*,じん性,38
57,0,限界,名詞,一般,*,*,限界,38
58,0,破壊,名詞,サ変接続,*,*,破壊,36
59,0,エネルギー,名詞,一般,*,*,エネルギー,38
61,0,積分,名詞,サ変接続,*,*,積分,36
62,0,破壊,名詞,サ変接続,*,*,破壊,36
65,0,疲労,名詞,サ変接続,*,*,疲労,36
66,0,応力拡大係数,名詞,固有名詞,一般,*,応力拡大係数,41
67,0,エネルギー,名詞,一般,*,*,エネルギー,38
68,0,解放,名詞,サ変接続,*,*,解放,36
69,0,率,名詞,接尾,一般,*,率,51
