Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
11,0,ロボット,名詞,一般,*,*,ロボット,38
13,0,はじめ,名詞,副詞可能,*,*,はじめ,67
16,0,各種,名詞,一般,*,*,各種,38
17,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
18,0,システム,名詞,一般,*,*,システム,38
20,0,構成,名詞,サ変接続,*,*,構成,36
26,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
28,0,構成,名詞,サ変接続,*,*,構成,36
30,0,代表,名詞,サ変接続,*,*,代表,36
31,0,的,名詞,接尾,形容動詞語幹,*,的,52
33,0,構成,名詞,サ変接続,*,*,構成,36
34,0,要素,名詞,一般,*,*,要素,38
36,0,種類,名詞,一般,*,*,種類,38
38,0,特性,名詞,一般,*,*,特性,38
40,0,使い方,名詞,一般,*,*,使い方,38
42,0,理解,名詞,サ変接続,*,*,理解,36
49,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
51,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
52,0,設計,名詞,サ変接続,*,*,設計,36
54,0,できる,動詞,自立,*,*,できる,31
57,0,なる,動詞,自立,*,*,なる,31
60,0,到達,名詞,サ変接続,*,*,到達,36
61,0,目標,名詞,一般,*,*,目標,38
66,0,講義,名詞,サ変接続,*,*,講義,36
68,0,履修,名詞,サ変接続,*,*,履修,36
76,0,ロボット,名詞,一般,*,*,ロボット,38
78,0,はじめ,名詞,副詞可能,*,*,はじめ,67
81,0,各種,名詞,一般,*,*,各種,38
82,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
83,0,システム,名詞,一般,*,*,システム,38
85,0,構成,名詞,サ変接続,*,*,構成,36
91,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
93,0,構成,名詞,サ変接続,*,*,構成,36
95,0,代表,名詞,サ変接続,*,*,代表,36
96,0,的,名詞,接尾,形容動詞語幹,*,的,52
98,0,構成,名詞,サ変接続,*,*,構成,36
99,0,要素,名詞,一般,*,*,要素,38
101,0,種類,名詞,一般,*,*,種類,38
103,0,特性,名詞,一般,*,*,特性,38
105,0,使い方,名詞,一般,*,*,使い方,38
107,0,理解,名詞,サ変接続,*,*,理解,36
114,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
116,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
117,0,設計,名詞,サ変接続,*,*,設計,36
119,0,できる,動詞,自立,*,*,できる,31
122,0,なる,動詞,自立,*,*,なる,31
125,0,到達,名詞,サ変接続,*,*,到達,36
126,0,目標,名詞,一般,*,*,目標,38
131,0,科目,名詞,一般,*,*,科目,38
134,0,学修,名詞,サ変接続,*,*,学修,36
135,0,目標,名詞,一般,*,*,目標,38
140,0,専門,名詞,一般,*,*,専門,38
141,0,力,名詞,接尾,一般,*,力,51
143,0,基盤,名詞,一般,*,*,基盤,38
144,0,的,名詞,接尾,形容動詞語幹,*,的,52
146,0,専門,名詞,一般,*,*,専門,38
147,0,力,名詞,接尾,一般,*,力,51
151,0,展開,名詞,サ変接続,*,*,展開,36
152,0,力,名詞,接尾,一般,*,力,51
155,0,探究,名詞,サ変接続,*,*,探究,36
156,0,力,名詞,接尾,一般,*,力,51
158,0,設定,名詞,サ変接続,*,*,設定,36
159,0,力,名詞,接尾,一般,*,力,51
161,0,整理,名詞,サ変接続,*,*,整理,36
163,0,分析,名詞,サ変接続,*,*,分析,36
164,0,できる,動詞,自立,*,*,できる,31
165,0,力,名詞,一般,*,*,力,38
169,0,展開,名詞,サ変接続,*,*,展開,36
170,0,力,名詞,接尾,一般,*,力,51
173,0,実践,名詞,サ変接続,*,*,実践,36
174,0,力,名詞,接尾,一般,*,力,51
176,0,解決,名詞,サ変接続,*,*,解決,36
177,0,力,名詞,接尾,一般,*,力,51
179,0,基本,名詞,一般,*,*,基本,38
180,0,的,名詞,接尾,形容動詞語幹,*,的,52
182,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
184,0,解決,名詞,サ変接続,*,*,解決,36
185,0,できる,動詞,自立,*,*,できる,31
186,0,力,名詞,一般,*,*,力,38
188,0,修得,名詞,サ変接続,*,*,修得,36
190,0,対応,名詞,サ変接続,*,*,対応,36
194,0,講義,名詞,サ変接続,*,*,講義,36
196,0,履修,名詞,サ変接続,*,*,履修,36
204,0,ロボット,名詞,一般,*,*,ロボット,38
206,0,はじめ,名詞,副詞可能,*,*,はじめ,67
209,0,各種,名詞,一般,*,*,各種,38
210,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
211,0,システム,名詞,一般,*,*,システム,38
213,0,構成,名詞,サ変接続,*,*,構成,36
219,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
221,0,構成,名詞,サ変接続,*,*,構成,36
223,0,代表,名詞,サ変接続,*,*,代表,36
224,0,的,名詞,接尾,形容動詞語幹,*,的,52
226,0,構成,名詞,サ変接続,*,*,構成,36
227,0,要素,名詞,一般,*,*,要素,38
229,0,種類,名詞,一般,*,*,種類,38
231,0,特性,名詞,一般,*,*,特性,38
233,0,使い方,名詞,一般,*,*,使い方,38
235,0,理解,名詞,サ変接続,*,*,理解,36
242,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
244,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
245,0,設計,名詞,サ変接続,*,*,設計,36
247,0,できる,動詞,自立,*,*,できる,31
250,0,なる,動詞,自立,*,*,なる,31
253,0,到達,名詞,サ変接続,*,*,到達,36
254,0,目標,名詞,一般,*,*,目標,38
259,0,講義,名詞,サ変接続,*,*,講義,36
261,0,履修,名詞,サ変接続,*,*,履修,36
269,0,ロボット,名詞,一般,*,*,ロボット,38
271,0,はじめ,名詞,副詞可能,*,*,はじめ,67
274,0,各種,名詞,一般,*,*,各種,38
275,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
276,0,システム,名詞,一般,*,*,システム,38
278,0,構成,名詞,サ変接続,*,*,構成,36
284,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
286,0,構成,名詞,サ変接続,*,*,構成,36
288,0,代表,名詞,サ変接続,*,*,代表,36
289,0,的,名詞,接尾,形容動詞語幹,*,的,52
291,0,構成,名詞,サ変接続,*,*,構成,36
292,0,要素,名詞,一般,*,*,要素,38
294,0,種類,名詞,一般,*,*,種類,38
296,0,特性,名詞,一般,*,*,特性,38
298,0,使い方,名詞,一般,*,*,使い方,38
300,0,理解,名詞,サ変接続,*,*,理解,36
307,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
309,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
310,0,設計,名詞,サ変接続,*,*,設計,36
312,0,できる,動詞,自立,*,*,できる,31
315,0,なる,動詞,自立,*,*,なる,31
318,0,到達,名詞,サ変接続,*,*,到達,36
319,0,目標,名詞,一般,*,*,目標,38
324,0,講義,名詞,サ変接続,*,*,講義,36
326,0,履修,名詞,サ変接続,*,*,履修,36
334,0,ロボット,名詞,一般,*,*,ロボット,38
336,0,はじめ,名詞,副詞可能,*,*,はじめ,67
339,0,各種,名詞,一般,*,*,各種,38
340,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
341,0,システム,名詞,一般,*,*,システム,38
343,0,構成,名詞,サ変接続,*,*,構成,36
349,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
351,0,構成,名詞,サ変接続,*,*,構成,36
353,0,代表,名詞,サ変接続,*,*,代表,36
354,0,的,名詞,接尾,形容動詞語幹,*,的,52
356,0,構成,名詞,サ変接続,*,*,構成,36
357,0,要素,名詞,一般,*,*,要素,38
359,0,種類,名詞,一般,*,*,種類,38
361,0,特性,名詞,一般,*,*,特性,38
363,0,使い方,名詞,一般,*,*,使い方,38
365,0,理解,名詞,サ変接続,*,*,理解,36
372,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
374,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
375,0,設計,名詞,サ変接続,*,*,設計,36
377,0,できる,動詞,自立,*,*,できる,31
380,0,なる,動詞,自立,*,*,なる,31
383,0,到達,名詞,サ変接続,*,*,到達,36
384,0,目標,名詞,一般,*,*,目標,38
389,0,科目,名詞,一般,*,*,科目,38
392,0,学修,名詞,サ変接続,*,*,学修,36
393,0,目標,名詞,一般,*,*,目標,38
398,0,専門,名詞,一般,*,*,専門,38
399,0,力,名詞,接尾,一般,*,力,51
401,0,基盤,名詞,一般,*,*,基盤,38
402,0,的,名詞,接尾,形容動詞語幹,*,的,52
404,0,専門,名詞,一般,*,*,専門,38
405,0,力,名詞,接尾,一般,*,力,51
409,0,展開,名詞,サ変接続,*,*,展開,36
410,0,力,名詞,接尾,一般,*,力,51
413,0,探究,名詞,サ変接続,*,*,探究,36
414,0,力,名詞,接尾,一般,*,力,51
416,0,設定,名詞,サ変接続,*,*,設定,36
417,0,力,名詞,接尾,一般,*,力,51
419,0,整理,名詞,サ変接続,*,*,整理,36
421,0,分析,名詞,サ変接続,*,*,分析,36
422,0,できる,動詞,自立,*,*,できる,31
423,0,力,名詞,一般,*,*,力,38
427,0,展開,名詞,サ変接続,*,*,展開,36
428,0,力,名詞,接尾,一般,*,力,51
431,0,実践,名詞,サ変接続,*,*,実践,36
432,0,力,名詞,接尾,一般,*,力,51
434,0,解決,名詞,サ変接続,*,*,解決,36
435,0,力,名詞,接尾,一般,*,力,51
437,0,基本,名詞,一般,*,*,基本,38
438,0,的,名詞,接尾,形容動詞語幹,*,的,52
440,0,問題,名詞,ナイ形容詞語幹,*,*,問題,37
442,0,解決,名詞,サ変接続,*,*,解決,36
443,0,できる,動詞,自立,*,*,できる,31
444,0,力,名詞,一般,*,*,力,38
446,0,修得,名詞,サ変接続,*,*,修得,36
448,0,対応,名詞,サ変接続,*,*,対応,36
452,0,講義,名詞,サ変接続,*,*,講義,36
454,0,履修,名詞,サ変接続,*,*,履修,36
462,0,ロボット,名詞,一般,*,*,ロボット,38
464,0,はじめ,名詞,副詞可能,*,*,はじめ,67
467,0,各種,名詞,一般,*,*,各種,38
468,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
469,0,システム,名詞,一般,*,*,システム,38
471,0,構成,名詞,サ変接続,*,*,構成,36
477,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
479,0,構成,名詞,サ変接続,*,*,構成,36
481,0,代表,名詞,サ変接続,*,*,代表,36
482,0,的,名詞,接尾,形容動詞語幹,*,的,52
484,0,構成,名詞,サ変接続,*,*,構成,36
485,0,要素,名詞,一般,*,*,要素,38
487,0,種類,名詞,一般,*,*,種類,38
489,0,特性,名詞,一般,*,*,特性,38
491,0,使い方,名詞,一般,*,*,使い方,38
493,0,理解,名詞,サ変接続,*,*,理解,36
500,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
502,0,メカトロニクス,名詞,固有名詞,一般,*,メカトロニクス,41
503,0,設計,名詞,サ変接続,*,*,設計,36
505,0,できる,動詞,自立,*,*,できる,31
508,0,なる,動詞,自立,*,*,なる,31
511,0,到達,名詞,サ変接続,*,*,到達,36
512,0,目標,名詞,一般,*,*,目標,38
517,0,科目,名詞,一般,*,*,科目,38
520,0,学修,名詞,サ変接続,*,*,学修,36
521,0,目標,名詞,一般,*,*,目標,38
526,0,専門,名詞,一般,*,*,専門,38
527,0,力,名詞,接尾,一般,*,力,51
529,0,基盤,名詞,一般,*,*,基盤,38
530,0,的,名詞,接尾,形容動詞語幹,*,的,52
532,0,専門,名詞,一般,*,*,専門,38
533,0,力,名詞,接尾,一般,*,力,51
537,0,展開,名詞,サ変接続,*,*,展開,36
538,0,力,名詞,接尾,一般,*,力,51
541,0,探究,名詞,サ変接続,*,*,探究,36
542,0,力,名詞,接尾,一般,*,力,51
544,0,設定,名詞,サ変接続,*,*,設定,36
545,0,力,名詞,接尾,一般,*,力,51
547,0,整理,名詞,サ変接続,*,*,整理,36
549,0,分析,名詞,サ変接続,*,*,分析,36
550,0,できる,動詞,自立,*,*,できる,31
551,0,力,名詞,一般,*,*,力,38
555,0,展開,名詞,サ変接続,*,*,展開,36
556,0,力,名詞,接尾,一般,*,力,51
559,0,実践,名詞,サ変接続,*,*,実践,36
560,0,力,名詞,接尾,一般,*,力,51
562,0,解決,名詞,サ変接続,*,*,解決,36
