Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,次,名詞,一般,*,*,次,38
5,0,両方,名詞,一般,*,*,両方,38
7,0,目標,名詞,一般,*,*,目標,38
14,0,大学,名詞,一般,*,*,大学,38
15,0,内,名詞,接尾,一般,*,内,51
18,0,得,動詞,自立,*,*,得る,31
21,0,知識,名詞,一般,*,*,知識,38
23,0,能力,名詞,一般,*,*,能力,38
25,0,修得,名詞,サ変接続,*,*,修得,36
30,0,大学,名詞,一般,*,*,大学,38
31,0,内,名詞,接尾,一般,*,内,51
33,0,得,動詞,自立,*,*,得る,31
35,0,知識,名詞,一般,*,*,知識,38
37,0,能力,名詞,一般,*,*,能力,38
39,0,活用,名詞,サ変接続,*,*,活用,36
40,0,方法,名詞,一般,*,*,方法,38
42,0,体験,名詞,サ変接続,*,*,体験,36
43,0,的,名詞,接尾,形容動詞語幹,*,的,52
45,0,修得,名詞,サ変接続,*,*,修得,36
48,0,次,名詞,一般,*,*,次,38
53,0,両方,名詞,一般,*,*,両方,38
55,0,目標,名詞,一般,*,*,目標,38
62,0,大学,名詞,一般,*,*,大学,38
63,0,内,名詞,接尾,一般,*,内,51
66,0,得,動詞,自立,*,*,得る,31
69,0,知識,名詞,一般,*,*,知識,38
71,0,能力,名詞,一般,*,*,能力,38
73,0,修得,名詞,サ変接続,*,*,修得,36
78,0,大学,名詞,一般,*,*,大学,38
79,0,内,名詞,接尾,一般,*,内,51
81,0,得,動詞,自立,*,*,得る,31
83,0,知識,名詞,一般,*,*,知識,38
85,0,能力,名詞,一般,*,*,能力,38
87,0,活用,名詞,サ変接続,*,*,活用,36
88,0,方法,名詞,一般,*,*,方法,38
90,0,体験,名詞,サ変接続,*,*,体験,36
91,0,的,名詞,接尾,形容動詞語幹,*,的,52
93,0,修得,名詞,サ変接続,*,*,修得,36
0,0,次,名詞,一般,*,*,次,38
5,0,両方,名詞,一般,*,*,両方,38
7,0,目標,名詞,一般,*,*,目標,38
14,0,大学,名詞,一般,*,*,大学,38
15,0,内,名詞,接尾,一般,*,内,51
18,0,得,動詞,自立,*,*,得る,31
21,0,知識,名詞,一般,*,*,知識,38
23,0,能力,名詞,一般,*,*,能力,38
25,0,修得,名詞,サ変接続,*,*,修得,36
30,0,大学,名詞,一般,*,*,大学,38
31,0,内,名詞,接尾,一般,*,内,51
33,0,得,動詞,自立,*,*,得る,31
35,0,知識,名詞,一般,*,*,知識,38
37,0,能力,名詞,一般,*,*,能力,38
39,0,活用,名詞,サ変接続,*,*,活用,36
40,0,方法,名詞,一般,*,*,方法,38
42,0,体験,名詞,サ変接続,*,*,体験,36
43,0,的,名詞,接尾,形容動詞語幹,*,的,52
45,0,修得,名詞,サ変接続,*,*,修得,36
48,0,次,名詞,一般,*,*,次,38
53,0,両方,名詞,一般,*,*,両方,38
55,0,目標,名詞,一般,*,*,目標,38
62,0,大学,名詞,一般,*,*,大学,38
63,0,内,名詞,接尾,一般,*,内,51
66,0,得,動詞,自立,*,*,得る,31
69,0,知識,名詞,一般,*,*,知識,38
71,0,能力,名詞,一般,*,*,能力,38
73,0,修得,名詞,サ変接続,*,*,修得,36
78,0,大学,名詞,一般,*,*,大学,38
79,0,内,名詞,接尾,一般,*,内,51
81,0,得,動詞,自立,*,*,得る,31
83,0,知識,名詞,一般,*,*,知識,38
85,0,能力,名詞,一般,*,*,能力,38
87,0,活用,名詞,サ変接続,*,*,活用,36
88,0,方法,名詞,一般,*,*,方法,38
90,0,体験,名詞,サ変接続,*,*,体験,36
91,0,的,名詞,接尾,形容動詞語幹,*,的,52
93,0,修得,名詞,サ変接続,*,*,修得,36
0,0,次,名詞,一般,*,*,次,38
