Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,ド・モルガンの法則,名詞,固有名詞,一般,*,ド・モルガンの法則,41
3,0,自由,名詞,形容動詞語幹,*,*,自由,40
5,0,使える,動詞,自立,*,*,使える,31
8,0,なる,動詞,自立,*,*,なる,31
11,0,与え,動詞,自立,*,*,与える,31
14,0,写像,名詞,サ変接続,*,*,写像,36
16,0,全射,名詞,固有名詞,一般,*,全射,41
18,0,なる,動詞,自立,*,*,なる,31
21,0,単射,名詞,固有名詞,一般,*,単射,41
23,0,なる,動詞,自立,*,*,なる,31
26,0,全単射,名詞,固有名詞,一般,*,全単射,41
28,0,なる,動詞,自立,*,*,なる,31
30,0,判定,名詞,サ変接続,*,*,判定,36
31,0,できる,動詞,自立,*,*,できる,31
34,0,なる,動詞,自立,*,*,なる,31
37,0,与え,動詞,自立,*,*,与える,31
40,0,写像,名詞,サ変接続,*,*,写像,36
42,0,像,名詞,一般,*,*,像,38
44,0,逆,名詞,一般,*,*,逆,38
45,0,像,名詞,接尾,一般,*,像,51
47,0,求め,動詞,自立,*,*,求める,31
51,0,なる,動詞,自立,*,*,なる,31
54,0,同値関係,名詞,固有名詞,一般,*,同値関係,41
56,0,商,名詞,一般,*,*,商,38
57,0,集合,名詞,サ変接続,*,*,集合,36
59,0,具体例,名詞,固有名詞,一般,*,具体例,41
61,0,扱える,動詞,自立,*,*,扱える,31
64,0,なる,動詞,自立,*,*,なる,31
67,0,連続,名詞,サ変接続,*,*,連続,36
69,0,濃度,名詞,一般,*,*,濃度,38
71,0,可算,名詞,一般,*,*,可算,38
73,0,濃度,名詞,一般,*,*,濃度,38
75,0,違い,名詞,ナイ形容詞語幹,*,*,違い,37
77,0,理解,名詞,サ変接続,*,*,理解,36
81,0,ド・モルガンの法則,名詞,固有名詞,一般,*,ド・モルガンの法則,41
83,0,自由,名詞,形容動詞語幹,*,*,自由,40
85,0,使える,動詞,自立,*,*,使える,31
88,0,なる,動詞,自立,*,*,なる,31
91,0,与え,動詞,自立,*,*,与える,31
94,0,写像,名詞,サ変接続,*,*,写像,36
96,0,全射,名詞,固有名詞,一般,*,全射,41
98,0,なる,動詞,自立,*,*,なる,31
101,0,単射,名詞,固有名詞,一般,*,単射,41
103,0,なる,動詞,自立,*,*,なる,31
106,0,全単射,名詞,固有名詞,一般,*,全単射,41
108,0,なる,動詞,自立,*,*,なる,31
110,0,判定,名詞,サ変接続,*,*,判定,36
111,0,できる,動詞,自立,*,*,できる,31
114,0,なる,動詞,自立,*,*,なる,31
117,0,与え,動詞,自立,*,*,与える,31
120,0,写像,名詞,サ変接続,*,*,写像,36
122,0,像,名詞,一般,*,*,像,38
124,0,逆,名詞,一般,*,*,逆,38
125,0,像,名詞,接尾,一般,*,像,51
127,0,求め,動詞,自立,*,*,求める,31
131,0,なる,動詞,自立,*,*,なる,31
134,0,同値関係,名詞,固有名詞,一般,*,同値関係,41
136,0,商,名詞,一般,*,*,商,38
137,0,集合,名詞,サ変接続,*,*,集合,36
139,0,具体例,名詞,固有名詞,一般,*,具体例,41
141,0,扱える,動詞,自立,*,*,扱える,31
144,0,なる,動詞,自立,*,*,なる,31
147,0,連続,名詞,サ変接続,*,*,連続,36
149,0,濃度,名詞,一般,*,*,濃度,38
151,0,可算,名詞,一般,*,*,可算,38
153,0,濃度,名詞,一般,*,*,濃度,38
155,0,違い,名詞,ナイ形容詞語幹,*,*,違い,37
157,0,理解,名詞,サ変接続,*,*,理解,36
161,0,ド・モルガンの法則,名詞,固有名詞,一般,*,ド・モルガンの法則,41
163,0,自由,名詞,形容動詞語幹,*,*,自由,40
165,0,使える,動詞,自立,*,*,使える,31
168,0,なる,動詞,自立,*,*,なる,31
171,0,与え,動詞,自立,*,*,与える,31
174,0,写像,名詞,サ変接続,*,*,写像,36
176,0,全射,名詞,固有名詞,一般,*,全射,41
178,0,なる,動詞,自立,*,*,なる,31
181,0,単射,名詞,固有名詞,一般,*,単射,41
183,0,なる,動詞,自立,*,*,なる,31
186,0,全単射,名詞,固有名詞,一般,*,全単射,41
188,0,なる,動詞,自立,*,*,なる,31
190,0,判定,名詞,サ変接続,*,*,判定,36
191,0,できる,動詞,自立,*,*,できる,31
194,0,なる,動詞,自立,*,*,なる,31
197,0,与え,動詞,自立,*,*,与える,31
200,0,写像,名詞,サ変接続,*,*,写像,36
202,0,像,名詞,一般,*,*,像,38
204,0,逆,名詞,一般,*,*,逆,38
205,0,像,名詞,接尾,一般,*,像,51
207,0,求め,動詞,自立,*,*,求める,31
211,0,なる,動詞,自立,*,*,なる,31
214,0,同値関係,名詞,固有名詞,一般,*,同値関係,41
216,0,商,名詞,一般,*,*,商,38
217,0,集合,名詞,サ変接続,*,*,集合,36
219,0,具体例,名詞,固有名詞,一般,*,具体例,41
221,0,扱える,動詞,自立,*,*,扱える,31
224,0,なる,動詞,自立,*,*,なる,31
