Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
2,0,もと,名詞,一般,*,*,もと,38
6,0,基礎,名詞,一般,*,*,基礎,38
8,0,応用,名詞,サ変接続,*,*,応用,36
10,0,多く,名詞,副詞可能,*,*,多く,67
12,0,例,名詞,一般,*,*,例,38
14,0,用い,動詞,自立,*,*,用いる,31
16,0,理解,名詞,サ変接続,*,*,理解,36
19,0,特に,副詞,一般,*,*,特に,34
20,0,真空,名詞,一般,*,*,真空,38
24,0,電磁波,名詞,一般,*,*,電磁波,38
25,0,解,名詞,サ変接続,*,*,解,36
27,0,電磁波,名詞,一般,*,*,電磁波,38
29,0,伝播,名詞,サ変接続,*,*,伝播,36
31,0,放射,名詞,サ変接続,*,*,放射,36
33,0,散乱,名詞,サ変接続,*,*,散乱,36
37,0,電磁場,名詞,一般,*,*,電磁場,38
39,0,則し,動詞,自立,*,*,則す,31
41,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
42,0,相対論,名詞,固有名詞,一般,*,相対論,41
45,0,電磁場,名詞,一般,*,*,電磁場,38
49,0,電荷,名詞,サ変接続,*,*,電荷,36
51,0,運動,名詞,サ変接続,*,*,運動,36
53,0,加速,名詞,サ変接続,*,*,加速,36
55,0,電荷,名詞,サ変接続,*,*,電荷,36
58,0,放射,名詞,サ変接続,*,*,放射,36
60,0,学ぶ,動詞,自立,*,*,学ぶ,31
62,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
64,0,もと,名詞,一般,*,*,もと,38
68,0,基礎,名詞,一般,*,*,基礎,38
70,0,応用,名詞,サ変接続,*,*,応用,36
72,0,多く,名詞,副詞可能,*,*,多く,67
74,0,例,名詞,一般,*,*,例,38
76,0,用い,動詞,自立,*,*,用いる,31
78,0,理解,名詞,サ変接続,*,*,理解,36
81,0,特に,副詞,一般,*,*,特に,34
82,0,真空,名詞,一般,*,*,真空,38
86,0,電磁波,名詞,一般,*,*,電磁波,38
87,0,解,名詞,サ変接続,*,*,解,36
89,0,電磁波,名詞,一般,*,*,電磁波,38
91,0,伝播,名詞,サ変接続,*,*,伝播,36
93,0,放射,名詞,サ変接続,*,*,放射,36
95,0,散乱,名詞,サ変接続,*,*,散乱,36
99,0,電磁場,名詞,一般,*,*,電磁場,38
101,0,則し,動詞,自立,*,*,則す,31
103,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
104,0,相対論,名詞,固有名詞,一般,*,相対論,41
107,0,電磁場,名詞,一般,*,*,電磁場,38
111,0,電荷,名詞,サ変接続,*,*,電荷,36
113,0,運動,名詞,サ変接続,*,*,運動,36
115,0,加速,名詞,サ変接続,*,*,加速,36
117,0,電荷,名詞,サ変接続,*,*,電荷,36
120,0,放射,名詞,サ変接続,*,*,放射,36
122,0,学ぶ,動詞,自立,*,*,学ぶ,31
124,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
126,0,もと,名詞,一般,*,*,もと,38
130,0,基礎,名詞,一般,*,*,基礎,38
132,0,応用,名詞,サ変接続,*,*,応用,36
134,0,多く,名詞,副詞可能,*,*,多く,67
136,0,例,名詞,一般,*,*,例,38
138,0,用い,動詞,自立,*,*,用いる,31
140,0,理解,名詞,サ変接続,*,*,理解,36
143,0,特に,副詞,一般,*,*,特に,34
144,0,真空,名詞,一般,*,*,真空,38
148,0,電磁波,名詞,一般,*,*,電磁波,38
149,0,解,名詞,サ変接続,*,*,解,36
151,0,電磁波,名詞,一般,*,*,電磁波,38
153,0,伝播,名詞,サ変接続,*,*,伝播,36
155,0,放射,名詞,サ変接続,*,*,放射,36
157,0,散乱,名詞,サ変接続,*,*,散乱,36
161,0,電磁場,名詞,一般,*,*,電磁場,38
163,0,則し,動詞,自立,*,*,則す,31
165,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
166,0,相対論,名詞,固有名詞,一般,*,相対論,41
169,0,電磁場,名詞,一般,*,*,電磁場,38
173,0,電荷,名詞,サ変接続,*,*,電荷,36
175,0,運動,名詞,サ変接続,*,*,運動,36
177,0,加速,名詞,サ変接続,*,*,加速,36
179,0,電荷,名詞,サ変接続,*,*,電荷,36
182,0,放射,名詞,サ変接続,*,*,放射,36
184,0,学ぶ,動詞,自立,*,*,学ぶ,31
186,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
188,0,もと,名詞,一般,*,*,もと,38
192,0,基礎,名詞,一般,*,*,基礎,38
194,0,応用,名詞,サ変接続,*,*,応用,36
196,0,多く,名詞,副詞可能,*,*,多く,67
198,0,例,名詞,一般,*,*,例,38
200,0,用い,動詞,自立,*,*,用いる,31
202,0,理解,名詞,サ変接続,*,*,理解,36
205,0,特に,副詞,一般,*,*,特に,34
206,0,真空,名詞,一般,*,*,真空,38
210,0,電磁波,名詞,一般,*,*,電磁波,38
211,0,解,名詞,サ変接続,*,*,解,36
213,0,電磁波,名詞,一般,*,*,電磁波,38
215,0,伝播,名詞,サ変接続,*,*,伝播,36
217,0,放射,名詞,サ変接続,*,*,放射,36
219,0,散乱,名詞,サ変接続,*,*,散乱,36
223,0,電磁場,名詞,一般,*,*,電磁場,38
225,0,則し,動詞,自立,*,*,則す,31
227,0,特殊,名詞,形容動詞語幹,*,*,特殊,40
228,0,相対論,名詞,固有名詞,一般,*,相対論,41
231,0,電磁場,名詞,一般,*,*,電磁場,38
235,0,電荷,名詞,サ変接続,*,*,電荷,36
237,0,運動,名詞,サ変接続,*,*,運動,36
239,0,加速,名詞,サ変接続,*,*,加速,36
241,0,電荷,名詞,サ変接続,*,*,電荷,36
244,0,放射,名詞,サ変接続,*,*,放射,36
246,0,学ぶ,動詞,自立,*,*,学ぶ,31
248,0,マクスウェル方程式,名詞,固有名詞,一般,*,マクスウェル方程式,41
250,0,もと,名詞,一般,*,*,もと,38
