Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
31,0,主,名詞,形容動詞語幹,*,*,主,40
33,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
34,0,工科,名詞,一般,*,*,工科,38
35,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
37,0,開講,名詞,一般,*,*,開講,38
41,0,英語,名詞,一般,*,*,英語,38
43,0,説明,名詞,サ変接続,*,*,説明,36
45,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
31,0,主,名詞,形容動詞語幹,*,*,主,40
33,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
34,0,工科,名詞,一般,*,*,工科,38
35,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
37,0,開講,名詞,一般,*,*,開講,38
41,0,英語,名詞,一般,*,*,英語,38
43,0,説明,名詞,サ変接続,*,*,説明,36
45,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
31,0,主,名詞,形容動詞語幹,*,*,主,40
33,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
34,0,工科,名詞,一般,*,*,工科,38
35,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
37,0,開講,名詞,一般,*,*,開講,38
41,0,英語,名詞,一般,*,*,英語,38
43,0,説明,名詞,サ変接続,*,*,説明,36
45,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
31,0,主,名詞,形容動詞語幹,*,*,主,40
33,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
34,0,工科,名詞,一般,*,*,工科,38
35,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
37,0,開講,名詞,一般,*,*,開講,38
41,0,英語,名詞,一般,*,*,英語,38
43,0,説明,名詞,サ変接続,*,*,説明,36
45,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
31,0,主,名詞,形容動詞語幹,*,*,主,40
33,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
34,0,工科,名詞,一般,*,*,工科,38
35,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
37,0,開講,名詞,一般,*,*,開講,38
41,0,英語,名詞,一般,*,*,英語,38
43,0,説明,名詞,サ変接続,*,*,説明,36
45,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
29,0,主,名詞,形容動詞語幹,*,*,主,40
31,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
32,0,工科,名詞,一般,*,*,工科,38
33,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
35,0,開講,名詞,一般,*,*,開講,38
39,0,英語,名詞,一般,*,*,英語,38
41,0,説明,名詞,サ変接続,*,*,説明,36
43,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
29,0,主,名詞,形容動詞語幹,*,*,主,40
31,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
32,0,工科,名詞,一般,*,*,工科,38
33,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
35,0,開講,名詞,一般,*,*,開講,38
39,0,英語,名詞,一般,*,*,英語,38
41,0,説明,名詞,サ変接続,*,*,説明,36
43,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
29,0,主,名詞,形容動詞語幹,*,*,主,40
31,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
32,0,工科,名詞,一般,*,*,工科,38
33,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
35,0,開講,名詞,一般,*,*,開講,38
39,0,英語,名詞,一般,*,*,英語,38
41,0,説明,名詞,サ変接続,*,*,説明,36
43,0,参照,名詞,サ変接続,*,*,参照,36
2,0,講義,名詞,サ変接続,*,*,講義,36
4,0,英語,名詞,一般,*,*,英語,38
6,0,開講,名詞,一般,*,*,開講,38
10,0,英語,名詞,一般,*,*,英語,38
12,0,説明,名詞,サ変接続,*,*,説明,36
14,0,参照,名詞,サ変接続,*,*,参照,36
21,0,講義,名詞,サ変接続,*,*,講義,36
23,0,英語,名詞,一般,*,*,英語,38
25,0,集中講義,名詞,固有名詞,一般,*,集中講義,41
26,0,形式,名詞,一般,*,*,形式,38
29,0,主,名詞,形容動詞語幹,*,*,主,40
31,0,ジョージア,名詞,固有名詞,地域,一般,ジョージア,46
32,0,工科,名詞,一般,*,*,工科,38
33,0,大学教員,名詞,固有名詞,人名,一般,大学教員,42
35,0,開講,名詞,一般,*,*,開講,38
