,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,システム,名詞,一般,*,*,システム,38
1,0,設計,名詞,サ変接続,*,*,設計,36
2,0,演習,名詞,サ変接続,*,*,演習,36
3,0,システム,名詞,一般,*,*,システム,38
4,0,設計,名詞,サ変接続,*,*,設計,36
5,0,演習,名詞,サ変接続,*,*,演習,36
6,0,システム,名詞,一般,*,*,システム,38
7,0,設計,名詞,サ変接続,*,*,設計,36
8,0,演習,名詞,サ変接続,*,*,演習,36
9,0,システム,名詞,一般,*,*,システム,38
10,0,設計,名詞,サ変接続,*,*,設計,36
11,0,演習,名詞,サ変接続,*,*,演習,36
12,0,システム,名詞,一般,*,*,システム,38
13,0,設計,名詞,サ変接続,*,*,設計,36
14,0,演習,名詞,サ変接続,*,*,演習,36
15,0,システム,名詞,一般,*,*,システム,38
16,0,設計,名詞,サ変接続,*,*,設計,36
17,0,演習,名詞,サ変接続,*,*,演習,36
18,0,システム,名詞,一般,*,*,システム,38
19,0,設計,名詞,サ変接続,*,*,設計,36
20,0,演習,名詞,サ変接続,*,*,演習,36
21,0,システム,名詞,一般,*,*,システム,38
22,0,設計,名詞,サ変接続,*,*,設計,36
23,0,演習,名詞,サ変接続,*,*,演習,36
24,0,システム,名詞,一般,*,*,システム,38
25,0,設計,名詞,サ変接続,*,*,設計,36
26,0,演習,名詞,サ変接続,*,*,演習,36
27,0,システム,名詞,一般,*,*,システム,38
28,0,設計,名詞,サ変接続,*,*,設計,36
29,0,演習,名詞,サ変接続,*,*,演習,36
30,0,システム,名詞,一般,*,*,システム,38
31,0,設計,名詞,サ変接続,*,*,設計,36
32,0,演習,名詞,サ変接続,*,*,演習,36
33,0,システム,名詞,一般,*,*,システム,38
34,0,設計,名詞,サ変接続,*,*,設計,36
35,0,演習,名詞,サ変接続,*,*,演習,36
36,0,システム,名詞,一般,*,*,システム,38
37,0,設計,名詞,サ変接続,*,*,設計,36
38,0,演習,名詞,サ変接続,*,*,演習,36
39,0,システム,名詞,一般,*,*,システム,38
40,0,設計,名詞,サ変接続,*,*,設計,36
41,0,演習,名詞,サ変接続,*,*,演習,36
43,0,演習,名詞,サ変接続,*,*,演習,36
48,0,システム,名詞,一般,*,*,システム,38
50,0,ビッグ,名詞,固有名詞,組織,*,ビッグ,45
51,0,データ,名詞,一般,*,*,データ,38
52,0,処理,名詞,サ変接続,*,*,処理,36
59,0,一つ,名詞,一般,*,*,一つ,38
61,0,選択,名詞,サ変接続,*,*,選択,36
64,0,演習,名詞,サ変接続,*,*,演習,36
68,0,システム,名詞,一般,*,*,システム,38
69,0,設計,名詞,サ変接続,*,*,設計,36
71,0,関連,名詞,サ変接続,*,*,関連,36
74,0,技術,名詞,一般,*,*,技術,38
76,0,理解,名詞,サ変接続,*,*,理解,36
78,0,深め,動詞,自立,*,*,深める,31
80,0,身,名詞,一般,*,*,身,38
82,0,つける,動詞,自立,*,*,つける,31
85,0,目指す,動詞,自立,*,*,目指す,31
88,0,講義,名詞,サ変接続,*,*,講義,36
90,0,履修,名詞,サ変接続,*,*,履修,36
94,0,以下,名詞,非自立,副詞可能,*,以下,66
96,0,能力,名詞,一般,*,*,能力,38
98,0,修得,名詞,サ変接続,*,*,修得,36
103,0,システム,名詞,一般,*,*,システム,38
104,0,設計,名詞,サ変接続,*,*,設計,36
106,0,必要,名詞,形容動詞語幹,*,*,必要,40
108,0,なる,動詞,自立,*,*,なる,31
109,0,技術,名詞,一般,*,*,技術,38
111,0,得失,名詞,一般,*,*,得失,38
113,0,理解,名詞,サ変接続,*,*,理解,36
115,0,適切,名詞,形容動詞語幹,*,*,適切,40
117,0,技術,名詞,一般,*,*,技術,38
119,0,選択,名詞,サ変接続,*,*,選択,36
120,0,できる,動詞,自立,*,*,できる,31
127,0,技術,名詞,一般,*,*,技術,38
129,0,活用,名詞,サ変接続,*,*,活用,36
131,0,ソフトウェアシステム,名詞,一般,*,*,ソフトウェアシステム,38
133,0,設計,名詞,サ変接続,*,*,設計,36
134,0,できる,動詞,自立,*,*,できる,31
136,0,サーバー,名詞,一般,*,*,サーバー,38
137,0,サイド,名詞,一般,*,*,サイド,38
178,0,分析,名詞,サ変接続,*,*,分析,36
179,0,ビッグ,名詞,固有名詞,組織,*,ビッグ,45
180,0,データ,名詞,一般,*,*,データ,38
181,0,分析,名詞,サ変接続,*,*,分析,36
